,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
64,30/09/2008,"8,53","2,43","0,96",,"1,34","R$ 277,60 M","2,38%",307
65,30/06/2008,"10,10","2,86","1,15",,"1,67","R$ 289,93 M","2,17%",307
66,31/03/2008,"13,28","3,29","1,31",,"2,06","R$ 297,91 M","2,06%",307
67,31/12/2007,"14,32","3,27","1,32",,"2,15","R$ 292,13 M","1,70%",307
68,30/09/2007,"13,52","2,99","1,26",,"1,84","R$ 280,49 M","1,91%",307
69,30/06/2007,"13,30","2,68","1,10",,"1,68","R$ 256,82 M","2,33%",307
70,31/03/2007,"1.184,37","223,66","92,43",,"151,15","R$ 23,43 B","2,93%",307
71,31/12/2006,"10,52","1,95","0,80",,"1,34","R$ 14,82 B","3.520,00%",307
72,30/09/2006,"11,65","1,91","0,79",,"1,27","R$ 14,81 B","2.514,29%",307
73,30/06/2006,"13,10","2,05","0,83",,"1,50","R$ 14,82 B","2.484,07%",307
74,31/03/2006,"13,70","2,25","0,87",,"1,71","R$ 14,82 B","2.333,51%",307
75,31/12/2005,"12,92","2,09","0,77",,"1,52","R$ 14,81 B","2.603,55%",307
76,30/09/2005,"10,23","1,75","0,64",,"1,22","R$ 14,80 B","4.094,98%",307
77,30/06/2005,"8,40","1,79","0,60",,"1,21","R$ 14,80 B","4.196,31%",307
78,31/03/2005,"7,44","1,91","0,61",,"1,30","R$ 14,80 B","4.111,11%",307
79,31/12/2004,"6,88","1,90","0,61",,"1,25","R$ 14,80 B","4.284,21%",307
80,30/09/2004,"7,01","1,86","0,64",,"1,16","R$ 14,80 B","3.279,57%",307
81,30/06/2004,"6,42","1,64","0,55",,"0,97","R$ 14,79 B","4.067,21%",307
82,31/03/2004,"5,87","1,30","0,45",,"0,90","R$ 14,78 B","5.495,50%",307
83,31/12/2003,"5,90","1,36","0,45",,"1,01","R$ 14,78 B","10.256,27%",307
84,30/09/2003,"4,58","1,09","0,38",,"0,74","R$ 14,77 B","5.889,86%",307
85,30/06/2003,"3,79","0,96","0,34",,"0,65","R$ 14,77 B","7.117,99%",307
86,31/03/2003,"4,04","1,03","0,38",,"0,65","R$ 14,77 B","6.983,69%",307
87,31/12/2002,"4,20","1,08","0,42",,"0,66","R$ 14,77 B","4.325,49%",307
88,30/09/2002,"4,02","0,81","0,34",,"0,47","R$ 14,76 B","5.947,96%",307
89,30/06/2002,"4,10","0,75","0,32",,"0,53","R$ 14,76 B","6.956,52%",307
90,31/03/2002,"3,62","0,73","0,32",,"0,52","R$ 14,76 B","7.441,86%",307
91,31/12/2001,"4,58","0,83","0,35",,"0,61","R$ 14,76 B","5.219,66%",307
92,30/09/2001,"3,78","0,64","0,29",,"0,43","R$ 14,76 B","6.666,67%",307
93,30/06/2001,"3,92","0,63","0,29",,"0,44","R$ 14,75 B","7.272,73%",307
94,31/03/2001,"4,69","0,72","0,33",,"0,50","R$ 14,75 B","6.703,91%",307
95,31/12/2000,"4,09","0,64","0,30",,"0,50","R$ 14,75 B","7.761,97%",307
96,30/09/2000,"3,65","0,58","0,27",,"0,43","R$ 14,75 B","8.695,65%",307
97,30/06/2000,"4,42","0,62","0,29",,"0,47","R$ 14,75 B","8.504,61%",307
98,31/03/2000,"3,96","0,55","0,27",,"0,43","R$ 14,75 B","9.836,07%",307
