,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
23,30/09/2018,"11,60%","2,32%","17,85%","3,47%","0,67","4,88","3,88"
24,30/06/2018,"7,80%","1,65%","15,28%","2,36%","0,70","4,89","3,89"
25,31/03/2018,"5,59%","1,18%","14,39%","1,77%","0,66","4,85","3,85"
26,31/12/2017,"3,82%","0,80%","13,09%","1,24%","0,64","4,99","3,99"
27,30/09/2017,"8,28%","1,53%","13,41%","2,37%","0,64","5,00","4,00"
28,30/06/2017,"9,38%","1,60%","14,41%","2,63%","0,61","4,74","3,74"
29,31/03/2017,"7,83%","1,47%","14,31%","2,37%","0,62","4,75","3,75"
30,31/12/2016,"6,82%","1,23%","14,05%","2,06%","0,60","4,79","3,79"
31,30/09/2016,"8,35%","1,51%","11,90%","2,40%","0,63","5,42","4,42"
32,30/06/2016,"6,89%","1,27%","11,14%","1,97%","0,65","5,86","4,86"
33,31/03/2016,"20,55%","3,39%","10,25%","5,10%","0,66","5,32","4,32"
34,31/12/2015,"20,91%","3,43%","10,99%","5,09%","0,67","5,53","4,53"
35,30/09/2015,"4,90%","0,90%","12,98%","1,43%","0,63","5,51","4,51"
36,30/06/2015,"53,85%","8,27%","15,01%","13,06%","0,63","5,42","4,42"
37,31/03/2015,"-249,00%","65,25%","18,90%","26,63%","2,45","6,06","5,06"
38,31/12/2014,"-257,70%","60,98%","20,87%","34,77%","1,75","6,09","5,09"
39,30/09/2014,"-286,50%","66,97%","24,20%","60,25%","1,11","5,46","4,46"
40,30/06/2014,"-143,20%","32,83%","26,55%","60,83%","0,54","6,51","5,51"
41,31/03/2014,"18,64%","-4,06%","45,98%","-120,66%","0,03","-3,82","-4,82"
42,31/12/2013,"24,27%","-4,56%","41,01%","-129,19%","0,04","-4,23","-5,23"
43,30/09/2013,"120,86%","-7,38%","91,87%","-348,14%","0,02","-4,28","-5,28"
44,30/06/2013,"-205,38%","-9,18%","18,44%","-136,93%","0,07","-4,36","-5,36"
45,31/03/2013,"-182,63%","-10,08%","20,37%","-58,36%","0,17","-4,59","-5,59"
46,31/12/2012,"-184,22%","-8,88%","20,49%","-31,55%","0,28","-5,32","-6,32"
47,30/09/2012,"-124,52%","-11,08%","18,94%","-19,54%","0,57","-16,37","-17,37"
48,30/06/2012,"-52,63%","-5,18%","20,09%","-8,52%","0,61","22,37","21,37"
49,31/03/2012,"-41,54%","-4,12%","21,58%","-6,63%","0,62","18,12","17,12"
50,31/12/2011,"-52,39%","-5,44%","21,69%","-8,84%","0,62","20,74","19,74"
51,30/09/2011,"-15,20%","-1,66%","21,04%","-2,75%","0,61","11,24","10,24"
52,30/06/2011,"-10,14%","-0,63%","21,70%","-1,01%","0,62","10,16","9,16"
53,31/03/2011,"-32,91%","-2,70%","20,77%","-4,37%","0,62","10,08","9,08"
54,31/12/2010,"-32,68%","-3,16%","20,83%","-5,38%","0,59","9,63","8,63"
55,30/09/2010,"-17,39%","-1,63%","24,95%","-3,33%","0,49","9,14","8,14"
56,30/06/2010,"-16,75%","-1,53%","24,48%","-3,25%","0,47","16,14","15,14"
57,31/03/2010,"0,67%","0,06%","25,23%","0,14%","0,46","12,17","11,17"
58,31/12/2009,"1,79%","0,18%","25,69%","0,40%","0,45","10,34","9,34"
59,30/09/2009,"60,60%","3,39%","26,64%","7,42%","0,46","10,66","9,66"
60,30/06/2009,"10,80%","0,83%","27,14%","1,81%","0,46","10,95","9,95"
61,31/03/2009,"19,18%","1,44%","28,32%","3,41%","0,42","10,63","9,63"
62,31/12/2008,"26,01%","2,07%","29,03%","5,14%","0,40","9,99","8,99"
63,30/09/2008,"-18,04%","-1,45%","33,25%","-3,78%","0,38","17,89","16,89"
64,30/06/2008,"14,47%","1,17%","34,06%","3,22%","0,36","12,99","11,99"
65,31/03/2008,"11,31%","0,87%","35,06%","2,33%","0,37","13,31","12,31"
66,31/12/2007,"7,02%","0,57%","36,62%","1,56%","0,37","12,59","11,59"
67,30/09/2007,"7,89%","0,55%","39,41%","1,44%","0,38","12,47","11,47"
68,30/06/2007,"2,06%","0,16%","41,21%","0,41%","0,39","12,34","11,34"
69,31/03/2007,"-1,07%","-0,09%","42,67%","-0,22%","0,40","12,98","11,98"
70,31/12/2006,"7,86%","1,07%","44,01%","2,75%","0,39","12,28","11,28"
71,30/09/2006,"5,10%","0,42%","39,57%","0,95%","0,44","14,40","13,40"
72,30/06/2006,"6,27%","0,55%","38,62%","1,26%","0,44","12,90","11,90"
73,31/03/2006,"40,88%","1,00%","38,73%","1,90%","0,52","12,13","11,13"
74,31/12/2005,"-13,75%","-0,38%","38,51%","-0,74%","0,52","7,34","6,34"
75,30/09/2005,"-51,22%","-2,02%","39,17%","-3,80%","0,53","12,18","11,18"
76,30/06/2005,"-42,90%","-1,82%","40,14%","-3,64%","0,50","11,38","10,38"
77,31/03/2005,"-51,71%","-2,86%","39,28%","-6,02%","0,48","40,95","39,95"
78,31/12/2004,"-53,99%","-3,42%","38,90%","-7,52%","0,45","35,74","34,74"
79,30/09/2004,"-45,42%","-3,33%","38,15%","-7,55%","0,44","25,31","24,31"
80,30/06/2004,"-42,85%","-3,27%","37,63%","-7,68%","0,43","23,58","22,58"
81,31/03/2004,"-35,76%","-3,09%","37,49%","-7,43%","0,42","18,06","17,06"
82,31/12/2003,"-33,92%","-3,31%","37,13%","-8,36%","0,40","15,78","14,78"
83,30/09/2003,"-31,59%","-3,37%","34,08%","-9,09%","0,37","13,66","12,66"
84,30/06/2003,"-41,55%","-5,42%","30,61%","-15,62%","0,35","13,10","12,10"
85,31/03/2003,"-42,45%","-6,18%","26,87%","-19,57%","0,32","11,56","10,56"
86,31/12/2002,"-38,26%","-5,90%","24,76%","-19,06%","0,31","10,24","9,24"
87,30/09/2002,NA,NA,"16,28%","-8,39%",NA,"9,38","8,38"
88,30/06/2002,"-24,83%","-2,50%","16,40%","-5,36%","0,47","7,66","6,66"
89,31/03/2002,"-8,25%","-0,87%","19,43%","-1,81%","0,48","6,87","5,87"
90,31/12/2001,"-3,06%","-0,34%","21,25%","-0,71%","0,48","6,49","5,49"
91,30/06/2001,"-20,09%","-2,54%","22,12%","-6,56%","0,39","9,93","8,93"
92,31/03/2001,"-23,48%","-2,63%","19,79%","-6,94%","0,38","9,50","8,50"
93,31/12/2000,"-21,46%","-2,51%","17,72%","-6,90%","0,36","9,08","8,08"
94,30/09/2000,NA,NA,"35,59%","-5,66%",NA,"8,14","7,14"
95,30/06/2000,NA,NA,"40,01%","-6,05%",NA,"7,90","6,90"
96,31/03/2000,NA,NA,"46,94%","-5,44%",NA,"8,92","7,92"
