,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
11,30/09/2021,"R$ 15,13 B","R$ 3,20 B","R$ 1,74 B","- R$ 645,09 M","R$ 2,39 B","R$ 759,36 M","R$ 2,04",71
12,30/06/2021,"R$ 14,39 B","R$ 3,26 B","R$ 1,99 B","- R$ 593,47 M","R$ 2,58 B","R$ 531,40 M","R$ 1,43",71
13,31/03/2021,"R$ 13,72 B","R$ 3,15 B","R$ 1,75 B","- R$ 590,02 M","R$ 2,34 B","R$ 483,45 M","R$ 1,30",71
14,31/12/2020,"R$ 13,07 B","R$ 3,20 B","R$ 1,78 B","- R$ 590,91 M","R$ 2,37 B","R$ 691,92 M","R$ 2,28",71
15,30/09/2020,"R$ 12,06 B","R$ 2,32 B","R$ 437,03 M","- R$ 592,64 M","R$ 1,03 B","- R$ 108,43 M","- R$ 0,36",71
16,30/06/2020,"R$ 12,82 B","R$ 3,17 B","R$ 1,01 B","- R$ 591,28 M","R$ 1,60 B","R$ 1,27 B","R$ 4,19",71
17,31/03/2020,"R$ 13,10 B","R$ 3,28 B","R$ 1,16 B","- R$ 590,23 M","R$ 1,75 B","R$ 1,33 B","R$ 4,38",71
18,31/12/2019,"R$ 13,39 B","R$ 3,35 B","R$ 1,29 B","- R$ 587,19 M","R$ 1,87 B","R$ 1,33 B","R$ 4,37",71
19,30/09/2019,"R$ 12,98 B","R$ 3,23 B","R$ 1,78 B","- R$ 578,25 M","R$ 2,36 B","R$ 1,79 B","R$ 5,88",71
20,30/06/2019,"R$ 12,22 B","R$ 2,16 B","R$ 953,84 M","- R$ 570,04 M","R$ 1,52 B","R$ 273,51 M","R$ 1,34",71
21,31/03/2019,"R$ 12,33 B","R$ 2,27 B","R$ 1,09 B","- R$ 557,40 M","R$ 1,64 B","R$ 237,25 M","R$ 1,16",71
22,31/12/2018,"R$ 11,97 B","R$ 2,22 B","R$ 962,16 M","- R$ 544,94 M","R$ 1,51 B","R$ 165,78 M","R$ 0,81",71
23,30/09/2018,"R$ 12,49 B","R$ 2,51 B","R$ 1,17 B","- R$ 537,60 M","R$ 1,71 B","R$ 164,65 M","R$ 0,81",71
24,30/06/2018,"R$ 12,11 B","R$ 2,58 B","R$ 1,35 B","- R$ 529,85 M","R$ 1,88 B","R$ 217,99 M","R$ 1,07",71
25,31/03/2018,"R$ 11,60 B","R$ 2,46 B","R$ 1,16 B","- R$ 524,82 M","R$ 1,68 B","R$ 192,34 M","R$ 0,94",71
26,31/12/2017,"R$ 11,31 B","R$ 2,45 B","R$ 1,17 B","- R$ 519,32 M","R$ 1,69 B","R$ 124,22 M","R$ 0,61",71
27,30/09/2017,"R$ 10,32 B","R$ 2,04 B","R$ 849,23 M","- R$ 513,86 M","R$ 1,36 B","- R$ 160,90 M","- R$ 0,79",71
28,30/06/2017,"R$ 9,92 B","R$ 1,90 B","R$ 664,30 M","- R$ 507,92 M","R$ 1,17 B","- R$ 282,38 M","- R$ 1,38",71
29,31/03/2017,"R$ 9,74 B","R$ 1,74 B","R$ 639,76 M","- R$ 501,16 M","R$ 1,14 B","- R$ 289,73 M","- R$ 1,42",71
30,31/12/2016,"R$ 9,65 B","R$ 1,60 B","R$ 514,54 M","- R$ 494,91 M","R$ 1,01 B","- R$ 312,94 M","- R$ 1,53",71
31,30/09/2016,"R$ 9,69 B","R$ 1,41 B","R$ 176,38 M","- R$ 488,70 M","R$ 665,09 M","- R$ 190,05 M","- R$ 0,93",71
32,30/06/2016,"R$ 9,80 B","R$ 1,50 B","R$ 365,81 M","- R$ 477,82 M","R$ 843,62 M","- R$ 90,43 M","- R$ 0,44",71
33,31/03/2016,"R$ 10,05 B","R$ 1,45 B","R$ 375,29 M","- R$ 468,86 M","R$ 844,15 M","- R$ 89,28 M","- R$ 0,44",71
34,31/12/2015,"R$ 10,65 B","R$ 1,58 B","R$ 635,78 M","- R$ 459,40 M","R$ 1,10 B","R$ 37,84 M","R$ 0,19",71
35,30/09/2015,"R$ 11,37 B","R$ 2,18 B","R$ 1,54 B","- R$ 448,56 M","R$ 1,99 B","R$ 628,98 M","R$ 3,08",71
36,30/06/2015,"R$ 10,74 B","R$ 1,97 B","R$ 1,30 B","- R$ 440,51 M","R$ 1,74 B","R$ 538,28 M","R$ 2,64",71
37,31/03/2015,"R$ 10,11 B","R$ 1,99 B","R$ 1,42 B","- R$ 428,34 M","R$ 1,85 B","R$ 610,86 M","R$ 3,00",71
38,31/12/2014,"R$ 9,23 B","R$ 2,00 B","R$ 1,39 B","- R$ 414,84 M","R$ 1,81 B","R$ 662,83 M","R$ 3,25",71
39,30/09/2014,"R$ 8,00 B","R$ 1,44 B","R$ 812,98 M","- R$ 404,56 M","R$ 1,22 B","R$ 271,71 M","R$ 1,33",71
40,30/06/2014,"R$ 7,84 B","R$ 1,98 B","R$ 1,36 B","- R$ 398,85 M","R$ 1,76 B","R$ 646,27 M","R$ 3,17",71
41,31/03/2014,"R$ 7,78 B","R$ 2,07 B","R$ 1,40 B","- R$ 395,51 M","R$ 1,79 B","R$ 689,21 M","R$ 3,38",71
42,31/12/2013,"R$ 7,42 B","R$ 1,94 B","R$ 1,31 B","- R$ 390,94 M","R$ 1,70 B","R$ 587,34 M","R$ 2,88",71
43,30/09/2013,"R$ 7,80 B","R$ 1,99 B","R$ 1,45 B","- R$ 394,88 M","R$ 1,85 B","R$ 618,29 M","R$ 3,03",71
44,30/06/2013,"R$ 7,79 B","R$ 1,55 B","R$ 1,02 B","- R$ 378,46 M","R$ 1,40 B","R$ 380,95 M","R$ 1,87",71
45,31/03/2013,"R$ 7,75 B","R$ 1,54 B","R$ 1,02 B","- R$ 362,90 M","R$ 1,38 B","R$ 362,51 M","R$ 1,78",71
46,31/12/2012,"R$ 7,61 B","R$ 1,65 B","R$ 1,10 B","- R$ 358,43 M","R$ 1,46 B","R$ 423,92 M","R$ 2,08",71
47,30/09/2012,"R$ 7,27 B","R$ 1,71 B","R$ 949,64 M","- R$ 347,20 M","R$ 1,30 B","R$ 364,54 M","R$ 1,79",71
48,30/06/2012,"R$ 7,17 B","R$ 1,68 B","R$ 895,71 M","- R$ 354,05 M","R$ 1,25 B","R$ 278,82 M","R$ 1,37",71
49,31/03/2012,"R$ 7,01 B","R$ 1,68 B","R$ 870,40 M","- R$ 363,86 M","R$ 1,23 B","R$ 284,38 M","R$ 1,39",71
50,31/12/2011,"R$ 6,94 B","R$ 1,65 B","R$ 873,20 M","- R$ 364,55 M","R$ 1,24 B","R$ 310,65 M","R$ 1,52",71
51,30/09/2011,"R$ 6,86 B","R$ 1,66 B","R$ 883,66 M","- R$ 367,55 M","R$ 1,25 B","R$ 785,21 M","R$ 3,85",71
52,30/06/2011,"R$ 6,76 B","R$ 1,75 B","R$ 1,04 B","- R$ 361,93 M","R$ 1,40 B","R$ 424,38 M","R$ 2,08",71
53,31/03/2011,"R$ 6,63 B","R$ 1,95 B","R$ 1,20 B","- R$ 357,60 M","R$ 1,55 B","R$ 516,70 M","R$ 2,53",71
54,31/12/2010,"R$ 6,51 B","R$ 1,87 B","R$ 1,24 B","- R$ 352,46 M","R$ 1,59 B","R$ 575,15 M","R$ 2,82",71
55,30/09/2010,"R$ 5,64 B","R$ 1,90 B","R$ 1,18 B",,,"R$ 816,90 M","R$ 4,01",71
56,30/06/2010,"R$ 5,53 B","R$ 1,83 B","R$ 1,09 B",,,"R$ 726,72 M","R$ 3,56",71
57,31/03/2010,"R$ 5,50 B","R$ 1,75 B","R$ 973,72 M",,,"R$ 635,52 M","R$ 3,12",71
58,31/12/2009,"R$ 5,43 B","R$ 1,63 B","R$ 896,40 M",,,"R$ 604,83 M","R$ 2,97",71
59,30/09/2009,"R$ 5,41 B","R$ 1,57 B","R$ 1,08 B",,,"R$ 642,77 M","R$ 3,15",71
60,30/06/2009,"R$ 5,48 B","R$ 1,66 B","R$ 1,14 B",,,"R$ 772,11 M","R$ 3,79",71
61,31/03/2009,"R$ 5,51 B","R$ 1,79 B","R$ 1,24 B",,,"R$ 1,04 B","R$ 5,09",71
62,31/12/2008,"R$ 5,39 B","R$ 1,75 B","R$ 1,21 B",,,"R$ 974,45 M","R$ 4,78",71
63,30/09/2008,"R$ 4,99 B","R$ 1,43 B","R$ 762,35 M",,,"R$ 930,78 M","R$ 4,57",71
64,30/06/2008,"R$ 4,86 B","R$ 1,30 B","R$ 633,99 M",,,"R$ 843,51 M","R$ 4,15",71
65,31/03/2008,"R$ 4,98 B","R$ 1,42 B","R$ 778,50 M",,,"R$ 1,09 B","R$ 5,34",71
66,31/12/2007,"R$ 4,99 B","R$ 1,45 B","R$ 788,32 M",,,"R$ 1,08 B","R$ 5,29",71
67,30/09/2007,"R$ 5,67 B","R$ 1,80 B","R$ 1,07 B",,,"R$ 941,95 M","R$ 0,00",71
68,30/06/2007,"R$ 5,70 B","R$ 1,66 B","R$ 784,75 M",,,"R$ 484,05 M","R$ 0,00",71
69,31/03/2007,"R$ 5,42 B","R$ 1,31 B","R$ 463,35 M",,,"- R$ 157,36 M","- R$ 0,00",71
70,31/12/2006,"R$ 5,42 B","R$ 1,30 B","R$ 423,88 M",,,"- R$ 150,49 M","- R$ 0,00",71
71,30/09/2006,,,,,,,,71
72,30/06/2006,,,,,,,,71
73,31/03/2006,,,,,,,,71
74,31/12/2005,"R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00","R$ 0,00",71
75,30/09/2005,"R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00","R$ 0,00",71
76,30/06/2005,"R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00","R$ 0,00",71
77,31/03/2005,"R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00","R$ 0,00",71
78,31/12/2004,"R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00","R$ 0,00",71
