Data,Periodo,MetaSelic,Percentual,PercentualAnual
31/05/17,01/06/2017 - 26/07/2017,"10,25","1,51","10,15"
12/04/17,13/04/2017 - 31/05/2017,"11,25","1,35","11,15"
22/02/17,23/02/2017 - 12/04/2017,"12,25","1,51","12,15"
11/01/17,12/01/2017 - 22/02/2017,13,"1,45","12,9"
30/11/16,01/12/2016 - 11/01/2017,"13,75","1,53","13,65"
19/10/16,20/10/2016 - 30/11/2016,14,"1,46","13,9"
31/08/16,01/09/2016 - 19/10/2016,"14,25","1,75","14,15"
20/07/16,21/07/2016 - 31/08/2016,"14,25","1,59","14,15"
08/06/16,09/06/2016 - 20/07/2016,"14,25","1,59","14,15"
27/04/16,28/04/2016 - 08/06/2016,"14,25","1,53","14,15"
02/03/16,03/03/2016 - 27/04/2016,"14,25","2,02","14,15"
20/01/16,21/01/2016 - 02/03/2016,"14,25","1,48","14,15"
25/11/15,26/11/2015 - 20/01/2016,"14,25","2,02","14,15"
21/10/15,22/10/2015 - 25/11/2015,"14,25","1,27","14,15"
02/09/15,03/09/2015 - 21/10/2015,"14,25","1,75","14,15"
29/07/15,30/07/2015 - 02/09/2015,"14,25","1,32","14,15"
03/06/15,04/06/2015 - 29/07/2015,"13,75",2,"13,65"
29/04/15,30/04/2015 - 03/06/2015,"13,25","1,18","13,15"
04/03/15,05/03/2015 - 29/04/2015,"12,75","1,81","12,65"
21/01/15,22/01/2015 - 04/03/2015,"12,25","1,28","12,15"
03/12/14,04/12/2014 - 21/01/2015,"11,75","1,45","11,65"
29/10/14,30/10/2014 - 03/12/2014,"11,25","1,05","11,15"
03/09/14,04/09/2014 - 29/10/2014,11,"1,66","10,9"
16/07/14,17/07/2014 - 03/09/2014,11,"1,45","10,9"
28/05/14,29/05/2014 - 16/07/2014,11,"1,41","10,9"
02/04/14,03/04/2014 - 28/05/2014,11,"1,53","10,9"
26/02/14,27/02/2014 - 02/04/2014,"10,75","0,93","10,65"
15/01/14,16/01/2014 - 26/02/2014,"10,5","1,18","10,4"
27/11/13,28/11/2013 - 15/01/2014,10,"1,24","9,9"
09/10/13,10/10/2013 - 27/11/2013,"9,5","1,22","9,4"
28/08/13,29/08/2013 - 09/10/2013,9,"1,02","8,9"
10/07/13,11/07/2013 - 28/08/2013,"8,5","1,13","8,4"
29/05/13,30/05/2013 - 10/07/2013,8,"0,88","7,9"
17/04/13,18/04/2013 - 29/05/2013,"7,5","0,82","7,4"
06/03/13,07/03/2013 - 17/04/2013,"7,25","0,8","7,16"
16/01/13,17/01/2013 - 06/03/2013,"7,25","0,9","7,12"
28/11/12,29/11/2012 - 16/01/2013,"7,25","0,91","7,14"
10/10/12,11/10/2012 - 28/11/2012,"7,25","0,88","7,14"
29/08/12,30/08/2012 - 10/10/2012,"7,5","0,82","7,39"
11/07/12,12/07/2012 - 29/08/2012,8,"1,06","7,89"
30/05/12,31/05/2012 - 11/07/2012,"8,5","0,93","8,39"
18/04/12,19/04/2012 - 30/05/2012,9,"0,99","8,9"
07/03/12,08/03/2012 - 18/04/2012,"9,75","1,07","9,65"
18/01/12,19/01/2012 - 07/03/2012,"10,5","1,3","10,4"
30/11/11,01/12/2011 - 18/01/2012,11,"1,45","10,9"
19/10/11,20/10/2011 - 30/11/2011,"11,5","1,21","11,4"
31/08/11,01/09/2011 - 19/10/2011,12,"1,48","11,9"
20/07/11,21/07/2011 - 31/08/2011,"12,5","1,4","12,42"
08/06/11,09/06/2011 - 20/07/2011,"12,25","1,33","12,17"
20/04/11,21/04/2011 - 08/06/2011,12,"1,49","11,92"
02/03/11,03/03/2011 - 20/04/2011,"11,75","1,46","11,67"
19/01/11,20/01/2011 - 02/03/2011,"11,25","1,27","11,17"
08/12/10,09/12/2010 - 19/01/2011,"10,75","1,21","10,66"
20/10/10,21/10/2010 - 08/12/2010,"10,75","1,34","10,66"
01/09/10,02/09/2010 - 20/10/2010,"10,75","1,34","10,66"
21/07/10,22/07/2010 - 01/09/2010,"10,75","1,21","10,66"
