,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
10,31/12/2021,"R$ 85,98 B","R$ 65,89 B","R$ 7,46",3.034.330.000,5.797.026.000,5.797.026.000,8.831.356.000,0,8.400.000,8.400.000,8.400.000,3.034.330.000,5.788.626.000,8.822.956.000,3
11,30/09/2021,"R$ 81,01 B","R$ 62,60 B","R$ 7,44",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,8.000.000,8.000.000,8.000.000,2.889.838.000,5.512.977.000,8.402.815.000,3
12,30/06/2021,"R$ 79,28 B","R$ 61,11 B","R$ 7,27",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000,3
13,31/03/2021,"R$ 73,30 B","R$ 58,70 B","R$ 6,98",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000,3
14,31/12/2020,"R$ 72,60 B","R$ 57,34 B","R$ 6,82",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000,3
15,30/09/2020,"R$ 67,55 B","R$ 54,49 B","R$ 6,48",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000,3
16,30/06/2020,"R$ 65,81 B","R$ 52,90 B","R$ 6,29",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000,3
17,31/03/2020,"R$ 64,34 B","R$ 51,96 B","R$ 6,18",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000,3
18,31/12/2019,"R$ 67,48 B","R$ 55,23 B","R$ 6,57",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000,3
19,30/09/2019,"R$ 64,56 B","R$ 52,13 B","R$ 6,20",2.889.838.000,5.520.977.000,5.520.977.000,8.410.815.000,0,0,0,0,2.889.838.000,5.520.977.000,8.410.815.000,3
