,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
40,30/06/2014,"R$ 6,42 B","R$ 1,91 B","R$ 1,11 B","- R$ 357,98 M","R$ 1,47 B","R$ 637,66 M","R$ 5,23"
41,31/03/2014,"R$ 6,41 B","R$ 1,81 B","R$ 1,09 B","- R$ 339,93 M","R$ 1,43 B","R$ 625,76 M","R$ 5,22"
42,31/12/2013,"R$ 6,34 B","R$ 1,78 B","R$ 1,07 B","- R$ 331,94 M","R$ 1,40 B","R$ 618,91 M","R$ 5,17"
43,30/09/2013,"R$ 6,20 B","R$ 1,71 B","R$ 997,63 M","- R$ 318,45 M","R$ 1,32 B","R$ 571,73 M","R$ 4,77"
44,30/06/2013,"R$ 5,93 B","R$ 1,65 B","R$ 953,76 M","- R$ 311,58 M","R$ 1,27 B","R$ 543,90 M","R$ 4,54"
45,31/03/2013,"R$ 5,61 B","R$ 1,49 B","R$ 753,35 M","- R$ 302,59 M","R$ 1,06 B","R$ 413,74 M","R$ 3,45"
46,31/12/2012,"R$ 5,28 B","R$ 1,40 B","R$ 671,75 M","- R$ 290,01 M","R$ 961,76 M","R$ 366,66 M","R$ 3,06"
47,30/09/2012,"R$ 4,88 B","R$ 1,25 B","R$ 540,38 M","- R$ 280,01 M","R$ 820,39 M","R$ 272,53 M","R$ 2,27"
48,30/06/2012,"R$ 4,56 B","R$ 1,11 B","R$ 426,74 M","- R$ 263,58 M","R$ 690,31 M","R$ 185,84 M","R$ 1,55"
49,31/03/2012,"R$ 4,30 B","R$ 1,14 B","R$ 492,46 M","- R$ 250,18 M","R$ 742,63 M","R$ 241,45 M","R$ 2,02"
