,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
41,31/03/2014,"27,27%","10,05%","28,30%","9,77%","1,03","2,58","1,58"
42,31/12/2013,"27,42%","10,37%","28,09%","9,77%","1,06","2,60","1,60"
43,30/09/2013,"38,53%","11,55%","27,56%","9,22%","1,25","2,56","1,56"
44,30/06/2013,"38,53%","11,55%","27,56%","9,22%","1,25","2,56","1,56"
45,31/03/2013,"40,09%","11,44%","27,79%","9,17%","1,25","2,67","1,67"
46,31/12/2012,"29,42%","8,51%","26,47%","6,94%","1,23","2,64","1,64"
47,30/09/2012,"21,92%","6,32%","25,58%","5,58%","1,13","3,34","2,34"
48,30/06/2012,"15,45%","4,71%","24,28%","4,07%","1,16","3,50","2,50"
49,31/03/2012,"16,71%","6,32%","26,61%","5,62%","1,12","3,41","2,41"
50,31/12/2011,"17,16%","6,14%","26,96%","5,76%","1,07","3,46","2,46"
51,30/09/2011,"23,43%","8,37%","30,46%","8,04%","1,04","3,47","2,47"
52,30/06/2011,"37,89%","12,35%","34,46%","11,70%","1,06","3,28","2,28"
53,31/03/2011,"38,51%","14,41%","36,36%","13,13%","1,10","2,64","1,64"
54,31/12/2010,"45,34%","15,15%","37,11%","14,16%","1,07","2,80","1,80"
55,30/09/2010,"23,94%","7,98%","26,98%","7,97%","1,00","2,80","1,80"
56,30/06/2010,NA,NA,NA,NA,NA,"3,07","2,07"
57,31/03/2010,NA,NA,NA,NA,NA,"2,67","1,67"
58,31/12/2009,"32,35%","9,17%","29,53%","9,47%","0,97","2,99","1,99"
59,30/09/2009,"32,11%","10,18%","29,71%","9,42%","1,08","3,00","2,00"
60,30/06/2009,"44,59%","12,75%","30,91%","10,74%","1,19","3,17","2,17"
61,31/03/2009,"55,92%","15,08%","32,86%","11,88%","1,27","3,53","2,53"
62,31/12/2008,"47,75%","16,39%","34,25%","12,89%","1,27","3,53","2,53"
63,30/09/2008,"49,28%","16,58%","36,11%","13,57%","1,22","3,15","2,15"
64,30/06/2008,"46,40%","15,87%","36,97%","13,58%","1,17","3,50","2,50"
65,31/03/2008,"41,30%","15,90%","37,96%","14,18%","1,12","3,71","2,71"
66,31/12/2007,"42,19%","15,07%","37,79%","13,79%","1,09","2,91","1,91"
67,30/09/2007,"38,49%","15,47%","37,26%","13,93%","1,11","2,97","1,97"
68,30/06/2007,"38,79%","15,63%","36,78%","13,88%","1,13","2,92","1,92"
69,31/03/2007,"41,72%","15,75%","36,46%","13,61%","1,16","2,60","1,60"
70,31/12/2006,"48,50%","16,57%","36,89%","14,38%","1,15","2,80","1,80"
71,30/09/2006,"41,49%","17,62%","37,11%","14,45%","1,22","2,49","1,49"
72,30/06/2006,"35,01%","16,83%","37,11%","13,98%","1,20","2,48","1,48"
73,31/03/2006,"36,39%","15,93%","37,16%","13,96%","1,14","2,65","1,65"
74,31/12/2005,"33,75%","14,21%","36,14%","12,70%","1,12","2,93","1,93"
75,30/09/2005,"28,15%","12,88%","35,49%","12,05%","1,07","2,35","1,35"
76,30/06/2005,"28,39%","12,68%","34,68%","11,90%","1,07","2,08","1,08"
77,31/03/2005,"27,90%","11,77%","35,27%","11,47%","1,03","2,29","1,29"
78,31/12/2004,"26,51%","10,77%","35,06%","10,87%","0,99","2,37","1,37"
79,30/09/2004,"25,55%","10,05%","33,47%","10,62%","0,95","2,19","1,19"
80,30/06/2004,"20,79%","8,60%","32,54%","9,22%","0,93","2,24","1,24"
81,31/03/2004,"13,50%","5,37%","26,46%","6,10%","0,88","2,37","1,37"
82,31/12/2003,"11,67%","4,69%","25,66%","5,32%","0,88","2,46","1,46"
83,30/09/2003,"16,31%","6,98%","32,37%","7,54%","0,93","2,54","1,54"
84,30/06/2003,"11,24%","5,52%","31,86%","6,00%","0,92","2,42","1,42"
85,31/03/2003,"13,82%","6,92%","38,90%","8,19%","0,85","2,52","1,52"
86,31/12/2002,"13,00%","6,27%","40,88%","8,51%","0,74","2,49","1,49"
87,30/09/2002,"17,50%","10,62%","33,86%","5,84%","1,82","2,34","1,34"
88,30/06/2002,"8,97%","5,44%","35,92%","7,16%","0,76","2,04","1,04"
89,31/03/2002,"7,54%","4,77%","34,67%","6,56%","0,73","2,00","1,00"
90,31/12/2001,"7,64%","4,88%","35,99%","7,39%","0,66","2,07","1,07"
91,30/06/2001,"3,55%","2,46%","36,99%","4,46%","0,55","1,65","0,65"
92,31/03/2001,"14,81%","6,83%","38,85%","7,21%","0,95","1,58","0,58"
93,31/12/2000,"16,15%","7,41%","40,41%","8,46%","0,88","1,57","0,57"
94,30/09/2000,"-4,25%","-2,58%","41,75%","-3,49%","0,74","1,47","0,47"
95,30/06/2000,"-12,46%","-7,09%","42,92%","-10,61%","0,67","1,44","0,44"
96,31/03/2000,"-19,46%","-11,80%","45,35%","-20,05%","0,59","2,17","1,17"
