,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
42,31/12/2013,"R$ 257,49 M","- R$ 195,36 M","- R$ 251,44 M","- R$ 189,32 M",111
43,30/09/2013,"R$ 419,05 M","- R$ 142,35 M","- R$ 225,85 M","R$ 50,85 M",111
44,30/06/2013,"R$ 121,37 M","- R$ 134,92 M","R$ 324,68 M","R$ 311,12 M",111
45,31/03/2013,"R$ 235,05 M","- R$ 105,08 M","- R$ 10,56 M","R$ 119,41 M",111
46,31/12/2012,"R$ 149,69 M","- R$ 78,14 M","R$ 350,18 M","R$ 421,73 M",111
47,30/09/2012,"R$ 235,95 M","- R$ 139,02 M","R$ 18,34 M","R$ 115,28 M",111
48,30/06/2012,"R$ 138,24 M","- R$ 808,43 M","R$ 467,82 M","- R$ 202,38 M",111
49,31/03/2012,"R$ 174,49 M","- R$ 58,42 M","- R$ 108,33 M","R$ 7,74 M",111
50,31/12/2011,"R$ 134,06 M","- R$ 111,56 M","- R$ 145,14 M","- R$ 122,64 M",111
51,30/09/2011,"R$ 181,70 M","- R$ 78,84 M","- R$ 44,61 M","R$ 58,24 M",111
52,30/06/2011,"R$ 102,40 M","- R$ 79,93 M","- R$ 214,72 M","- R$ 192,25 M",111
53,31/03/2011,"R$ 202,64 M","- R$ 39,80 M","- R$ 174,29 M","- R$ 11,45 M",111
