,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
28,30/06/2017,"R$ 0,00","R$ 0,00","- R$ 10,77 M","- R$ 319,00 mil","- R$ 10,45 M","- R$ 31,54 M","- R$ 0,83",94
29,31/03/2017,"R$ 0,00","R$ 0,00","- R$ 9,51 M","- R$ 324,00 mil","- R$ 9,18 M","- R$ 32,00 M","- R$ 839,62",94
30,31/12/2016,"R$ 0,00","R$ 0,00","- R$ 6,46 M","- R$ 334,00 mil","- R$ 6,13 M","- R$ 29,81 M","- R$ 0,78",94
31,30/09/2016,"R$ 591,00 mil","R$ 205,00 mil","- R$ 6,43 M","- R$ 346,00 mil","- R$ 6,09 M","- R$ 30,99 M","- R$ 0,81",94
32,30/06/2016,"R$ 591,00 mil","R$ 205,00 mil","- R$ 4,07 M","- R$ 364,00 mil","- R$ 3,71 M","- R$ 16,42 M","- R$ 5,28",94
33,31/03/2016,"R$ 592,00 mil","R$ 203,00 mil","- R$ 4,29 M","- R$ 380,00 mil","- R$ 3,91 M","- R$ 16,32 M","- R$ 5,25",94
34,31/12/2015,"R$ 592,00 mil","R$ 203,00 mil","- R$ 5,32 M","- R$ 357,00 mil","- R$ 4,96 M","- R$ 17,09 M","- R$ 5,50",94
35,30/09/2015,"- R$ 11,00 mil","- R$ 3,00 mil","- R$ 27,50 M","- R$ 363,00 mil","- R$ 27,14 M","- R$ 45,53 M","- R$ 14,64",94
36,30/06/2015,"R$ 177,00 mil","- R$ 9,00 mil","- R$ 23,19 M","- R$ 392,00 mil","- R$ 22,80 M","- R$ 43,15 M","- R$ 0,18",94
37,31/03/2015,"R$ 668,00 mil","R$ 96,00 mil","- R$ 23,34 M","- R$ 421,00 mil","- R$ 22,92 M","- R$ 43,17 M","- R$ 0,19",94
38,31/12/2014,"R$ 2,06 M","R$ 417,00 mil","- R$ 22,64 M","- R$ 481,00 mil","- R$ 22,16 M","- R$ 42,73 M","- R$ 0,18",94
39,30/09/2014,"R$ 6,02 M","R$ 1,50 M","- R$ 908,00 mil","- R$ 510,00 mil","- R$ 398,00 mil","- R$ 11,46 M","- R$ 0,05",94
40,30/06/2014,"R$ 10,91 M","R$ 2,90 M","- R$ 4,66 M","- R$ 511,00 mil","- R$ 4,15 M","- R$ 10,58 M","- R$ 0,05",94
41,31/03/2014,"R$ 13,78 M","R$ 3,49 M","- R$ 4,22 M","- R$ 516,00 mil","- R$ 3,71 M","- R$ 10,08 M","- R$ 0,04",94
42,31/12/2013,"R$ 19,05 M","R$ 4,71 M","- R$ 2,86 M","- R$ 523,00 mil","- R$ 2,33 M","- R$ 7,71 M","- R$ 0,03",94
43,30/09/2013,"R$ 19,71 M","R$ 4,83 M","- R$ 3,84 M","- R$ 528,00 mil","- R$ 3,31 M","- R$ 11,30 M","- R$ 0,05",94
44,30/06/2013,"R$ 15,71 M","R$ 3,62 M","- R$ 4,98 M","- R$ 538,00 mil","- R$ 4,44 M","- R$ 13,39 M","- R$ 0,06",94
45,31/03/2013,"R$ 14,10 M","R$ 3,41 M","- R$ 5,97 M","- R$ 548,00 mil","- R$ 5,42 M","- R$ 13,77 M","- R$ 0,06",94
46,31/12/2012,"R$ 12,95 M","R$ 3,28 M","- R$ 6,66 M","- R$ 559,00 mil","- R$ 6,10 M","- R$ 14,74 M","- R$ 0,06",94
47,30/09/2012,"R$ 8,87 M","R$ 2,62 M","- R$ 13,24 M","- R$ 560,00 mil","- R$ 12,68 M","- R$ 22,23 M","- R$ 0,21",94
48,30/06/2012,"R$ 7,13 M","R$ 2,64 M","- R$ 19,66 M","- R$ 480,00 mil","- R$ 19,18 M","- R$ 30,44 M","- R$ 0,29",94
49,31/03/2012,"R$ 10,05 M","R$ 2,22 M","- R$ 20,15 M","- R$ 557,00 mil","- R$ 19,59 M","- R$ 31,57 M","- R$ 0,49",94
