,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
20,30/06/2019,"R$ 4,31 B","R$ 1,09 B","R$ 283,08 M","- R$ 96,84 M","R$ 379,93 M","R$ 386,63 M","R$ 0,25",12
21,31/03/2019,"R$ 4,33 B","R$ 1,21 B","R$ 291,43 M","- R$ 103,94 M","R$ 395,37 M","R$ 132,10 M","R$ 0,69",12
22,31/12/2018,"R$ 4,61 B","R$ 1,30 B","R$ 312,46 M","- R$ 41,01 M","R$ 353,47 M","R$ 189,64 M","R$ 1,00",12
23,30/09/2018,"R$ 3,67 B","R$ 1,09 B","R$ 232,54 M","- R$ 46,32 M","R$ 278,87 M","R$ 119,56 M","R$ 0,63",12
24,30/06/2018,"R$ 3,70 B","R$ 1,11 B","R$ 273,28 M","- R$ 39,12 M","R$ 312,40 M","R$ 140,75 M","R$ 0,74",12
25,31/03/2018,"R$ 3,61 B","R$ 1,04 B","R$ 263,27 M","- R$ 37,24 M","R$ 300,51 M","R$ 147,48 M","R$ 0,77",12
26,31/12/2017,"R$ 3,62 B","R$ 1,06 B","R$ 275,63 M","- R$ 37,08 M","R$ 312,71 M","R$ 165,62 M","R$ 0,87",12
27,30/09/2017,"R$ 2,86 B","R$ 882,77 M","R$ 213,75 M","- R$ 36,63 M","R$ 250,38 M","R$ 92,48 M","R$ 0,49",12
28,30/06/2017,"R$ 2,70 B","R$ 834,94 M","R$ 200,85 M","- R$ 34,92 M","R$ 235,78 M","R$ 72,36 M","R$ 0,42",12
29,31/03/2017,"R$ 2,81 B","R$ 832,45 M","R$ 197,45 M","- R$ 34,44 M","R$ 231,89 M","R$ 58,56 M","R$ 2,71",12
30,31/12/2016,"R$ 2,84 B","R$ 840,65 M","R$ 186,85 M","- R$ 40,02 M","R$ 226,87 M","R$ 46,07 M","R$ 2,13",12
31,30/09/2016,"R$ 2,26 B","R$ 715,91 M","R$ 148,66 M","- R$ 31,72 M","R$ 180,38 M","R$ 24,82 M","R$ 1,15",12
32,30/06/2016,"R$ 2,15 B","R$ 682,49 M","R$ 132,22 M","- R$ 30,98 M","R$ 163,20 M","R$ 10,42 M","R$ 0,48",12
33,31/03/2016,"R$ 2,26 B","R$ 683,56 M","R$ 113,22 M","- R$ 30,90 M","R$ 144,12 M","R$ 5,25 M","R$ 0,24",12
34,31/12/2015,"R$ 2,54 B","R$ 721,41 M","R$ 66,18 M","- R$ 34,18 M","R$ 100,35 M","- R$ 52,39 M","- R$ 2,35",12
35,30/09/2015,"R$ 2,08 B","R$ 613,87 M","R$ 81,51 M","- R$ 28,89 M","R$ 110,39 M","- R$ 19,10 M","- R$ 0,86",12
36,30/06/2015,"R$ 2,11 B","R$ 629,53 M","R$ 95,59 M","- R$ 30,99 M","R$ 126,58 M","R$ 3,04 M","R$ 0,02",12
37,31/03/2015,"R$ 2,25 B","R$ 613,82 M","R$ 95,65 M","- R$ 31,75 M","R$ 127,40 M","R$ 2,85 M","R$ 0,02",12
38,31/12/2014,"R$ 2,78 B","R$ 759,22 M","R$ 143,96 M","- R$ 31,48 M","R$ 175,45 M","R$ 39,31 M","R$ 0,22",12
39,30/09/2014,"R$ 2,39 B","R$ 679,53 M","R$ 147,87 M","- R$ 28,17 M","R$ 176,04 M","R$ 42,08 M","R$ 0,23",12
40,30/06/2014,"R$ 2,34 B","R$ 633,72 M","R$ 105,33 M","- R$ 27,65 M","R$ 132,98 M","R$ 26,63 M","R$ 0,15",12
41,31/03/2014,"R$ 2,27 B","R$ 620,00 M","R$ 93,77 M","- R$ 27,03 M","R$ 120,80 M","R$ 20,54 M","R$ 0,11",12
42,31/12/2013,"R$ 2,48 B","R$ 678,15 M","R$ 105,34 M","- R$ 26,45 M","R$ 131,78 M","R$ 32,97 M","R$ 0,18",12
43,30/09/2013,"R$ 2,02 B","R$ 572,41 M","R$ 97,02 M","- R$ 25,31 M","R$ 122,33 M","R$ 25,38 M","R$ 0,14",12
44,30/06/2013,"R$ 1,84 B","R$ 534,88 M","R$ 134,52 M","- R$ 25,56 M","R$ 160,07 M","R$ 54,65 M","R$ 0,29",12
45,31/03/2013,"R$ 1,77 B","R$ 498,22 M","R$ 38,09 M","- R$ 24,65 M","R$ 62,74 M","R$ 802,00 mil","R$ 0,00",12
46,31/12/2012,"R$ 2,21 B","R$ 722,16 M","R$ 64,88 M","- R$ 26,91 M","R$ 91,79 M","R$ 9,71 M","R$ 0,05",12
47,30/09/2012,"R$ 1,84 B","R$ 618,24 M","R$ 45,82 M","- R$ 22,95 M","R$ 68,77 M","R$ 2,35 M","R$ 0,01",12
48,30/06/2012,"R$ 1,80 B","R$ 603,19 M","R$ 48,94 M","- R$ 22,98 M","R$ 71,92 M","R$ 21,91 M","R$ 0,12",12
49,31/03/2012,"R$ 1,81 B","R$ 574,92 M","- R$ 11,38 M","- R$ 20,70 M","R$ 9,32 M","- R$ 40,72 M","- R$ 0,22",12
50,31/12/2011,"R$ 1,93 B","R$ 668,16 M","R$ 31,24 M","- R$ 21,27 M","R$ 52,50 M","- R$ 16,89 M","- R$ 0,09",12
51,30/09/2011,"R$ 1,60 B","R$ 523,61 M","R$ 69,38 M","- R$ 22,78 M","R$ 92,16 M","R$ 11,68 M","R$ 0,06",12
52,30/06/2011,"R$ 1,47 B","R$ 482,66 M","R$ 50,15 M","- R$ 21,76 M","R$ 71,91 M","R$ 4,58 M","R$ 0,02",12
53,31/03/2011,"R$ 1,42 B","R$ 469,86 M","R$ 62,90 M","- R$ 21,13 M","R$ 84,03 M","R$ 12,30 M","R$ 0,08",12
54,31/12/2010,,,,,,,,12
