,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
28,30/06/2017,"R$ 668,72 M","- R$ 589,51 M","- R$ 163,30 M","- R$ 84,10 M",153
29,31/03/2017,"R$ 732,51 M","- R$ 571,46 M","- R$ 195,68 M","- R$ 34,64 M",153
30,31/12/2016,"R$ 841,94 M","- R$ 754,45 M","- R$ 117,34 M","- R$ 29,85 M",153
31,30/09/2016,"R$ 680,64 M","- R$ 364,62 M","- R$ 351,33 M","- R$ 35,31 M",153
32,30/06/2016,"R$ 629,08 M","- R$ 146,80 M","- R$ 456,26 M","R$ 26,02 M",153
33,31/03/2016,"R$ 535,48 M","- R$ 107,46 M","- R$ 688,82 M","- R$ 260,80 M",153
34,31/12/2015,"R$ 494,33 M","- R$ 254,46 M","- R$ 197,11 M","R$ 42,76 M",153
35,30/09/2015,"R$ 432,69 M","- R$ 372,48 M","- R$ 176,31 M","- R$ 116,10 M",153
36,30/06/2015,"R$ 390,60 M","- R$ 413,12 M","- R$ 56,49 M","- R$ 79,01 M",153
37,31/03/2015,"R$ 388,50 M","- R$ 410,84 M","- R$ 6,46 M","- R$ 28,80 M",153
38,31/12/2014,"R$ 459,22 M","- R$ 285,79 M","- R$ 434,32 M","- R$ 260,90 M",153
39,30/09/2014,"R$ 462,14 M","- R$ 192,83 M","R$ 24,53 M","R$ 293,85 M",153
40,30/06/2014,"R$ 356,91 M","- R$ 152,33 M","R$ 30,51 M","R$ 235,10 M",153
41,31/03/2014,"R$ 318,93 M","- R$ 162,95 M","R$ 240,95 M","R$ 396,93 M",153
42,31/12/2013,"R$ 254,98 M","- R$ 174,72 M","R$ 227,10 M","R$ 307,36 M",153
43,30/09/2013,"R$ 285,52 M","- R$ 110,06 M","- R$ 61,08 M","R$ 114,37 M",153
44,30/06/2013,"R$ 304,79 M","- R$ 134,50 M","- R$ 67,63 M","R$ 102,67 M",153
45,31/03/2013,"R$ 300,05 M","- R$ 157,03 M","- R$ 52,12 M","R$ 90,90 M",153
46,31/12/2012,"R$ 315,50 M","- R$ 188,80 M","- R$ 148,12 M","- R$ 21,43 M",153
47,30/09/2012,"R$ 43,10 M","- R$ 277,39 M","R$ 157,41 M","- R$ 76,88 M",153
48,30/06/2012,"R$ 67,53 M","- R$ 311,72 M","R$ 124,36 M","- R$ 119,83 M",153
49,31/03/2012,"R$ 30,92 M","- R$ 297,99 M","R$ 183,13 M","- R$ 83,94 M",153
50,31/12/2011,"- R$ 25,64 M","- R$ 325,04 M","R$ 298,36 M","- R$ 52,32 M",153
51,30/09/2011,"- R$ 65,58 M","- R$ 345,70 M","R$ 338,17 M","- R$ 73,10 M",153
52,30/06/2011,"- R$ 46,51 M","- R$ 278,31 M","R$ 351,37 M","R$ 26,56 M",153
53,31/03/2011,"R$ 135,99 M","- R$ 251,17 M","R$ 130,77 M","R$ 15,58 M",153
