,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
10,31/12/2021,"R$ 23,25 B","R$ 7,54 B","R$ 13,46",560.510.880,0,0,560.510.880,91.666,0,0,91.666,560.419.214,0,560.419.214,153
11,30/09/2021,"R$ 18,39 B","R$ 7,42 B","R$ 13,54",547.963.188,0,0,547.963.188,91.666,0,0,91.666,547.871.522,0,547.871.522,153
12,30/06/2021,"R$ 17,78 B","R$ 7,27 B","R$ 13,26",547.963.188,0,0,547.963.188,91.666,0,0,91.666,547.871.522,0,547.871.522,153
13,31/03/2021,"R$ 14,02 B","R$ 3,53 B","R$ 7,34",480.813.758,0,0,480.813.758,91.666,0,0,91.666,480.722.092,0,480.722.092,153
14,31/12/2020,"R$ 13,34 B","R$ 3,54 B","R$ 7,36",480.722.092,0,0,480.722.092,91.666,0,0,91.666,480.630.426,0,480.630.426,153
15,30/09/2020,"R$ 12,41 B","R$ 3,90 B","R$ 8,10",480.813.758,0,0,480.813.758,109.200,0,0,109.200,480.704.558,0,480.704.558,153
16,30/06/2020,"R$ 12,35 B","R$ 3,87 B","R$ 8,05",480.813.758,0,0,480.813.758,109.199,0,0,109.199,480.704.559,0,480.704.559,153
17,31/03/2020,"R$ 11,59 B","R$ 4,02 B","R$ 8,36",480.813.758,0,0,480.813.758,109.199,0,0,109.199,480.704.559,0,480.704.559,153
18,31/12/2019,"R$ 8,84 B","R$ 3,27 B","R$ 10,39",314.944.846,0,0,314.944.846,109.199,0,0,109.199,314.835.647,0,314.835.647,153
19,30/09/2019,"R$ 8,92 B","R$ 3,57 B","R$ 11,33",314.944.846,0,0,314.944.846,109.199,0,0,109.199,314.835.647,0,314.835.647,153
20,30/06/2019,"R$ 8,17 B","R$ 3,53 B","R$ 11,20",314.944.846,0,0,314.944.846,109.199,0,0,109.199,314.835.647,0,314.835.647,153
21,31/03/2019,"R$ 8,32 B","R$ 3,49 B","R$ 11,18",311.816.941,0,0,311.816.941,109.199,0,0,109.199,311.707.742,0,311.707.742,153
22,31/12/2018,"R$ 7,22 B","R$ 3,34 B","R$ 10,70",311.816.941,0,0,311.816.941,109.199,0,0,109.199,311.707.742,0,311.707.742,153
23,30/09/2018,"R$ 6,70 B","R$ 3,54 B","R$ 11,36",311.816.941,0,0,311.816.941,109.199,0,0,109.199,311.707.742,0,311.707.742,153
24,30/06/2018,"R$ 6,57 B","R$ 3,47 B","R$ 11,11",311.816.941,0,0,311.816.941,109.199,0,0,109.199,311.707.742,0,311.707.742,153
25,31/03/2018,"R$ 6,52 B","R$ 3,42 B","R$ 10,96",311.816.941,0,0,311.816.941,109.199,0,0,109.199,311.707.742,0,311.707.742,153
26,31/12/2017,"R$ 6,25 B","R$ 3,34 B","R$ 10,69",311.891.942,0,0,311.891.942,34.198,0,0,34.198,311.857.744,0,311.857.744,153
27,30/09/2017,"R$ 6,03 B","R$ 3,02 B","R$ 9,67",311.851.140,0,0,311.851.140,34.198,0,0,34.198,311.816.942,0,311.816.942,153
28,30/06/2017,"R$ 5,12 B","R$ 2,95 B","R$ 9,47",310.889.283,0,0,310.889.283,34.198,0,0,34.198,310.855.085,0,310.855.085,153
29,31/03/2017,"R$ 5,05 B","R$ 2,94 B","R$ 9,45",310.889.283,0,0,310.889.283,34.198,0,0,34.198,310.855.085,0,310.855.085,153
30,31/12/2016,"R$ 5,12 B","R$ 2,86 B","R$ 9,20",310.889.283,0,0,310.889.283,34.198,0,0,34.198,310.855.085,0,310.855.085,153
31,30/09/2016,"R$ 4,86 B","R$ 2,88 B","R$ 9,25",310.889.283,0,0,310.889.283,913.732,0,0,913.732,309.975.551,0,309.975.551,153
32,30/06/2016,"R$ 4,73 B","R$ 2,81 B","R$ 9,05",310.889.283,0,0,310.889.283,913.732,0,0,913.732,309.975.551,0,309.975.551,153
33,31/03/2016,"R$ 4,69 B","R$ 2,79 B","R$ 8,98",310.889.283,0,0,310.889.283,913.732,0,0,913.732,309.975.551,0,309.975.551,153
34,31/12/2015,"R$ 4,68 B","R$ 2,79 B","R$ 8,97",310.889.283,0,0,310.889.283,913.732,0,0,913.732,309.975.551,0,309.975.551,153
35,30/09/2015,"R$ 4,83 B","R$ 2,79 B","R$ 8,98",310.889.283,0,0,310.889.283,913.732,0,0,913.732,309.975.551,0,309.975.551,153
36,30/06/2015,"R$ 4,82 B","R$ 2,78 B","R$ 8,92",311.803.015,0,0,311.803.015,1.052.459,0,0,1.052.459,310.750.556,0,310.750.556,153
37,31/03/2015,"R$ 5,06 B","R$ 2,77 B","R$ 8,89",311.803.015,0,0,311.803.015,1.052.459,0,0,1.052.459,310.750.556,0,310.750.556,153
38,31/12/2014,"R$ 4,61 B","R$ 2,77 B","R$ 8,89",311.803.015,0,0,311.803.015,1.052.459,0,0,1.052.459,310.750.556,0,310.750.556,153
39,30/09/2014,"R$ 4,74 B","R$ 2,81 B","R$ 9,02",311.803.015,0,0,311.803.015,1.052.459,0,0,1.052.459,310.750.556,0,310.750.556,153
40,30/06/2014,"R$ 4,59 B","R$ 2,77 B","R$ 8,88",311.803.015,0,0,311.803.015,1.052.459,0,0,1.052.459,310.750.556,0,310.750.556,153
41,31/03/2014,"R$ 4,79 B","R$ 2,74 B","R$ 8,78",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
42,31/12/2013,"R$ 4,69 B","R$ 2,71 B","R$ 8,69",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
43,30/09/2013,"R$ 4,35 B","R$ 2,70 B","R$ 8,67",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
44,30/06/2013,"R$ 4,32 B","R$ 2,67 B","R$ 8,55",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
45,31/03/2013,"R$ 4,32 B","R$ 2,63 B","R$ 8,44",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
