,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
19,30/09/2019,"R$ 31,40 M","R$ 21,58 M","R$ 30,91 M","- R$ 619,00 mil","R$ 31,53 M","- R$ 53,96 M","- R$ 0,78",390
20,30/06/2019,"R$ 25,23 M","R$ 17,21 M","R$ 2,94 M","- R$ 618,00 mil","R$ 3,56 M","- R$ 3,42 M","- R$ 0,05",390
21,31/03/2019,"R$ 50,39 M","R$ 42,71 M","R$ 24,33 M","- R$ 774,00 mil","R$ 25,10 M","- R$ 27,73 M","- R$ 0,40",390
22,31/12/2018,"R$ 55,53 M","R$ 47,60 M","R$ 30,88 M","- R$ 997,00 mil","R$ 31,87 M","- R$ 7,91 M","- R$ 0,11",390
23,30/09/2018,"R$ 51,60 M","R$ 44,68 M","R$ 31,22 M","- R$ 842,00 mil","R$ 32,06 M","- R$ 61,27 M","- R$ 0,88",390
24,30/06/2018,"R$ 46,90 M","R$ 40,19 M","- R$ 14,82 M","- R$ 805,00 mil","- R$ 14,01 M","- R$ 223,22 M","- R$ 3,21",390
25,31/03/2018,"R$ 61,60 M","R$ 55,24 M","R$ 6,02 M","- R$ 1,03 M","R$ 7,05 M","- R$ 64,65 M","- R$ 0,93",390
26,31/12/2017,"R$ 67,97 M","R$ 60,84 M","R$ 305,53 M","- R$ 1,08 M","R$ 306,61 M","R$ 292,60 M","R$ 4,21",390
27,30/09/2017,"R$ 62,44 M","R$ 54,57 M","R$ 43,65 M","- R$ 1,14 M","R$ 44,79 M","R$ 27,42 M","R$ 0,39",390
28,30/06/2017,"R$ 61,82 M","R$ 55,05 M","R$ 37,01 M","- R$ 1,14 M","R$ 38,16 M","- R$ 72,96 M","- R$ 0,96",390
29,31/03/2017,"R$ 60,06 M","R$ 53,89 M","R$ 42,26 M","- R$ 1,32 M","R$ 43,58 M","R$ 4,39 M","R$ 0,06",390
30,31/12/2016,"R$ 66,42 M","R$ 58,31 M","R$ 92,18 M","- R$ 1,48 M","R$ 93,66 M","R$ 8,84 M","R$ 0,12",390
31,30/09/2016,"R$ 59,63 M","R$ 51,14 M","R$ 36,34 M","- R$ 1,59 M","R$ 37,92 M","R$ 40,57 M","R$ 0,53",390
32,30/06/2016,"R$ 65,61 M","R$ 55,51 M","R$ 24,92 M","- R$ 1,52 M","R$ 26,44 M","R$ 63,96 M","R$ 0,98",390
33,31/03/2016,"R$ 67,57 M","R$ 57,26 M","R$ 44,25 M","- R$ 1,53 M","R$ 45,78 M","R$ 70,00 M","R$ 1,08",390
34,31/12/2015,"R$ 74,15 M","R$ 63,51 M","- R$ 32,50 M","- R$ 1,50 M","- R$ 31,01 M","R$ 43,15 M","R$ 0,66",390
35,30/09/2015,"R$ 62,71 M","R$ 54,09 M","R$ 41,78 M","- R$ 1,71 M","R$ 43,49 M","- R$ 358,97 M","- R$ 7,11",390
36,30/06/2015,"R$ 66,38 M","R$ 56,81 M","- R$ 5,42 M","- R$ 1,50 M","- R$ 3,92 M","- R$ 42,94 M","- R$ 0,85",390
37,31/03/2015,"R$ 59,60 M","R$ 52,12 M","R$ 40,27 M","- R$ 1,60 M","R$ 41,87 M","- R$ 193,20 M","- R$ 3,83",390
38,31/12/2014,"R$ 65,75 M","R$ 73,55 M","- R$ 163,69 M","R$ 14,64 M","- R$ 178,33 M","- R$ 281,16 M","- R$ 5,57",390
39,30/09/2014,"R$ 63,02 M","R$ 47,88 M","R$ 181,31 M","- R$ 7,37 M","R$ 188,68 M","R$ 21,84 M","R$ 0,43",390
40,30/06/2014,"R$ 61,30 M","R$ 46,35 M","R$ 35,41 M","- R$ 7,33 M","R$ 42,74 M","R$ 20,00 mil","R$ 0,00",390
41,31/03/2014,"R$ 61,02 M","R$ 46,85 M","R$ 39,25 M","- R$ 6,77 M","R$ 46,02 M","R$ 12,96 M","R$ 0,26",390
42,31/12/2013,"R$ 64,97 M","R$ 51,63 M","R$ 36,67 M","- R$ 6,30 M","R$ 42,97 M","- R$ 47,73 M","- R$ 0,95",390
43,30/09/2013,"R$ 52,50 M","R$ 41,63 M","R$ 30,95 M","- R$ 5,23 M","R$ 36,18 M","- R$ 17,99 M","- R$ 0,36",390
44,30/06/2013,"R$ 52,46 M","R$ 40,73 M","R$ 65,58 M","- R$ 5,64 M","R$ 71,21 M","- R$ 44,62 M","- R$ 0,88",390
45,31/03/2013,"R$ 49,65 M","R$ 37,98 M","R$ 28,36 M","- R$ 6,09 M","R$ 34,45 M","- R$ 7,26 M","- R$ 0,14",390
46,31/12/2012,"R$ 56,73 M","R$ 45,03 M","R$ 34,05 M","- R$ 4,51 M","R$ 38,56 M","- R$ 8,22 M","- R$ 0,16",390
47,30/09/2012,"R$ 46,28 M","R$ 37,67 M","R$ 27,93 M","- R$ 3,65 M","R$ 31,57 M","- R$ 10,41 M","- R$ 0,21",390
48,30/06/2012,"R$ 41,31 M","R$ 31,75 M","R$ 23,80 M","- R$ 4,01 M","R$ 27,81 M","- R$ 77,98 M","- R$ 1,54",390
49,31/03/2012,"R$ 38,04 M","R$ 29,92 M","R$ 22,38 M","- R$ 3,96 M","R$ 26,34 M","R$ 6,37 M","R$ 0,13",390
50,31/12/2011,"R$ 40,43 M","R$ 31,59 M","R$ 24,97 M","- R$ 4,48 M","R$ 29,45 M","- R$ 5,35 M","- R$ 0,11",390
51,30/09/2011,"R$ 33,77 M","R$ 27,11 M","R$ 21,67 M","- R$ 2,76 M","R$ 24,43 M","- R$ 47,62 M","- R$ 0,94",390
52,30/06/2011,"R$ 32,54 M","R$ 26,22 M","R$ 20,26 M","- R$ 2,61 M","R$ 22,87 M","R$ 11,20 M","R$ 0,22",390
53,31/03/2011,"R$ 30,60 M","R$ 24,36 M","R$ 18,59 M","- R$ 2,61 M","R$ 21,20 M","R$ 3,77 M","R$ 0,07",390
54,31/12/2010,"R$ 33,03 M","R$ 26,31 M","R$ 20,46 M",,,"- R$ 14,42 M","- R$ 0,29",390
55,30/09/2010,"R$ 28,90 M","R$ 22,46 M","R$ 17,42 M",,,"R$ 2,92 M","R$ 0,06",390
56,30/06/2010,"R$ 27,69 M","R$ 22,02 M","R$ 17,25 M",,,"- R$ 27,00 mil","- R$ 0,00",390
57,31/03/2010,"R$ 26,54 M","R$ 20,34 M","R$ 16,77 M",,,"R$ 173,00 mil","R$ 0,00",390
58,31/12/2009,"R$ 29,09 M","R$ 22,05 M","R$ 19,49 M",,,"R$ 7,56 M","R$ 0,15",390
59,30/09/2009,"R$ 25,72 M","R$ 18,74 M","R$ 16,30 M",,,"R$ 4,19 M","R$ 0,08",390
60,30/06/2009,"R$ 23,05 M","R$ 16,34 M","R$ 14,05 M",,,"R$ 4,57 M","R$ 0,09",390
61,31/03/2009,"R$ 22,70 M","R$ 15,96 M","R$ 12,41 M",,,"R$ 8,11 M","R$ 0,16",390
62,31/12/2008,"R$ 28,58 M","R$ 21,89 M","R$ 18,49 M",,,"R$ 3,42 M","R$ 0,07",390
63,30/09/2008,"R$ 20,53 M","R$ 14,32 M","R$ 11,52 M",,,"- R$ 8,90 M","- R$ 0,18",390
64,30/06/2008,"R$ 19,76 M","R$ 13,83 M","R$ 9,59 M",,,"- R$ 1,94 M","- R$ 0,04",390
65,31/03/2008,"R$ 18,08 M","R$ 11,27 M","R$ 9,20 M",,,"- R$ 282,00 mil","- R$ 0,01",390
66,31/12/2007,"R$ 18,11 M","R$ 13,48 M","R$ 11,69 M",,,"R$ 506,00 mil","R$ 0,01",390
67,30/09/2007,"R$ 12,18 M","R$ 7,70 M","- R$ 17,21 M",,,"- R$ 20,50 M","- R$ 0,41",390
68,30/06/2007,"R$ 10,34 M","R$ 7,02 M","R$ 6,05 M",,,"R$ 868,00 mil","R$ 0,03",390
69,31/03/2007,"R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00","R$ 0,00",390
