,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
66,31/12/2007,"R$ 7,20 B","R$ 445,14 M","R$ 0,29",1.514.884.000,0,0,1.514.884.000,0,0,0,0,1.514.884.000,0,1.514.884.000
67,30/09/2007,"R$ 6,72 B","R$ 423,49 M","R$ 0,28",1.514.885.000,0,0,1.514.885.000,0,0,0,0,1.514.885.000,0,1.514.885.000
68,30/06/2007,"R$ 6,10 B","R$ 379,79 M","R$ 0,25",1.514.884.000,0,0,1.514.884.000,0,0,0,0,1.514.884.000,0,1.514.884.000
69,31/03/2007,"R$ 5,42 B","R$ 347,66 M","R$ 0,23",1.514.884.000,0,0,1.514.884.000,0,0,0,0,1.514.884.000,0,1.514.884.000
70,31/12/2006,"R$ 5,22 B","R$ 323,31 M","R$ 0,21",1.514.884.000,0,0,1.514.884.000,0,0,0,0,1.514.884.000,0,1.514.884.000
71,30/09/2006,"R$ 4,75 B","R$ 296,86 M","R$ 0,23",1.310.884.000,0,0,1.310.884.000,0,0,0,0,1.310.884.000,0,1.310.884.000
72,30/06/2006,"R$ 4,49 B","R$ 267,57 M","R$ 0,20",1.310.884.000,0,0,1.310.884.000,0,0,0,0,1.310.884.000,0,1.310.884.000
73,31/03/2006,"R$ 4,63 B","R$ 228,16 M","R$ 0,17",1.310.884.000,0,0,1.310.884.000,0,0,0,0,1.310.884.000,0,1.310.884.000
74,31/12/2005,"R$ 4,01 B","R$ 203,98 M","R$ 0,16",1.310.884.000,0,0,1.310.884.000,0,0,0,0,1.310.884.000,0,1.310.884.000
75,30/09/2005,"R$ 3,82 B","R$ 172,46 M","R$ 0,13",1.310.884.000,0,0,1.310.884.000,0,0,0,0,1.310.884.000,0,1.310.884.000
76,30/06/2005,"R$ 3,67 B","R$ 155,37 M","R$ 0,12",1.310.884.000,0,0,1.310.884.000,0,0,0,0,1.310.884.000,0,1.310.884.000
77,31/03/2005,"R$ 3,17 B","R$ 132,74 M","R$ 0,10",1.310.884.000,0,0,1.310.884.000,0,0,0,0,1.310.884.000,0,1.310.884.000
