,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
41,31/03/2014,"-9,75%","-2,09%","15,43%","-1,07%","1,95","5,20","4,20"
42,31/12/2013,"-8,27%","-1,14%","14,68%","-0,64%","1,78","6,32","5,32"
43,30/09/2013,"-4,34%","-0,65%","16,16%","-0,33%","1,96","5,20","4,20"
44,30/06/2013,"4,17%","0,73%","15,93%","0,33%","2,21","4,68","3,68"
45,31/03/2013,"3,82%","0,67%","15,10%","0,29%","2,31","4,66","3,66"
46,31/12/2012,"-14,15%","-2,41%","14,91%","-1,12%","2,15","7,28","6,28"
47,30/09/2012,"-15,86%","-3,29%","15,02%","-1,27%","2,60","6,66","5,66"
48,30/06/2012,"-19,09%","-4,41%","15,65%","-1,66%","2,65","5,72","4,72"
49,31/03/2012,"-18,01%","-4,50%","16,30%","-1,75%","2,57","5,67","4,67"
50,31/12/2011,"-9,25%","-2,39%","16,98%","-0,91%","2,63","5,87","4,87"
51,30/09/2011,"-9,43%","-2,49%","19,01%","-0,96%","2,59","4,82","3,82"
52,30/06/2011,"-11,01%","-3,55%","19,53%","-1,37%","2,60","4,33","3,33"
53,31/03/2011,"-14,07%","-4,02%","19,66%","-1,54%","2,61","4,00","3,00"
54,31/12/2010,"-24,63%","-7,47%","19,76%","-2,93%","2,55","3,87","2,87"
55,30/09/2010,"-44,38%","-16,82%","19,05%","-6,26%","2,69","3,79","2,79"
56,30/06/2010,"-15,45%","-8,02%","19,12%","-3,13%","2,56","3,10","2,10"
57,31/03/2010,"-12,14%","-4,75%","17,71%","-2,14%","2,22","3,50","2,50"
58,31/12/2009,"-24,46%","-10,91%","17,53%","-5,56%","1,96","3,30","2,30"
59,30/09/2009,"-24,61%","-11,20%","15,87%","-4,17%","2,69","2,64","1,64"
60,30/06/2009,"-3,62%","-1,60%","15,37%","-0,80%","2,01","1,93","0,93"
61,31/03/2009,"-44,94%","-13,23%","16,59%","-4,47%","2,96","2,56","1,56"
62,31/12/2008,"-11,41%","-3,24%","16,11%","-1,10%","2,95","2,24","1,24"
63,30/09/2008,"-11,71%","-3,10%","16,12%","-0,94%","3,31","2,20","1,20"
64,30/06/2008,"-9,61%","-4,30%","16,16%","-0,79%","5,44","2,26","1,26"
65,31/03/2008,"-8,52%","-6,31%","14,90%","-0,64%","9,83","3,40","2,40"
66,31/12/2007,"-0,13%","-0,09%","15,42%","-0,01%","8,25","3,52","2,52"
67,30/09/2007,"-6,37%","-6,25%","16,26%","-0,93%","6,75","3,77","2,77"
68,30/06/2007,"-3,94%","-3,84%","15,06%","-1,17%","3,27","2,23","1,23"
69,31/03/2007,"-5,35%","-5,18%","36,78%","-19,47%","0,27","1,35","0,35"
70,31/12/2006,"-8,21%","-7,96%","0,00%","0,00%","0,00","1,41","0,41"
71,30/09/2006,"-1,93%","-1,72%","0,00%","0,00%","0,00","1,02","0,02"
72,30/06/2006,"-2,46%","-2,21%","0,00%","0,00%","0,00","1,03","0,03"
73,31/03/2006,"-5,78%","-3,71%","0,00%","0,00%","0,00","1,03","0,03"
74,31/12/2005,"-9,27%","-6,60%","0,00%","0,00%","0,00","1,03","0,03"
75,30/09/2005,"-66,63%","-55,78%","0,00%","0,00%","0,00","1,12","0,12"
76,30/06/2005,"-93,46%","-71,75%","0,00%","0,00%","0,00","1,12","0,12"
77,31/03/2005,"-90,29%","-75,01%","0,00%","0,00%","0,00","1,56","0,56"
78,31/12/2004,"-96,63%","-76,53%","0,00%","0,00%","0,00","1,40","0,40"
79,30/09/2004,"-43,02%","-37,37%","63,58%","-360,60%","0,10","1,19","0,19"
80,30/06/2004,"-32,56%","-28,77%","63,58%","-280,88%","0,10","1,30","0,30"
81,31/03/2004,"-40,44%","-36,16%","63,58%","-398,58%","0,09","1,20","0,20"
82,31/12/2003,"-42,59%","-36,77%","63,58%","-405,37%","0,09","1,26","0,26"
83,30/09/2003,"-23,44%","-20,93%","72,39%","-284,42%","0,07","1,15","0,15"
84,30/06/2003,"-26,49%","-23,43%","72,39%","-302,40%","0,08","1,13","0,13"
85,31/03/2003,"-12,97%","-11,64%","72,39%","-158,92%","0,07","1,12","0,12"
86,31/12/2002,"-21,04%","-18,82%","72,39%","-323,18%","0,06","1,16","0,16"
87,30/09/2002,NA,NA,"84,19%","-737,27%",NA,"1,12","0,12"
88,30/06/2002,NA,NA,"84,19%","-765,14%",NA,"1,13","0,13"
89,31/03/2002,"-60,59%","-51,89%","84,22%","-792,23%","0,07","1,11","0,11"
90,31/12/2001,"-52,59%","-46,57%","84,24%","-826,86%","0,06","1,12","0,12"
91,31/03/2001,NA,NA,"100,00%","-1.647.931,55%",NA,"1,17","0,17"
92,31/12/2000,NA,NA,"0,00%","0,00%",NA,"1,13","0,13"
93,30/09/2000,NA,NA,NA,NA,NA,"1,05","0,05"
94,30/06/2000,NA,NA,NA,NA,NA,"1,06","0,06"
95,31/03/2000,"0,00%","0,00%","0,00%","0,00%","0,00","1,38","0,38"
