,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
30,31/12/2016,"R$ 4,63 B","- R$ 3,82 B","- R$ 336,61 M","R$ 482,20 M",105
31,30/09/2016,"R$ 4,91 B","- R$ 2,13 B","- R$ 1,47 B","R$ 1,31 B",105
32,30/06/2016,"R$ 4,00 B","- R$ 1,70 B","- R$ 544,37 M","R$ 1,76 B",105
33,31/03/2016,"R$ 2,99 B","- R$ 1,64 B","- R$ 966,83 M","R$ 378,00 M",105
34,31/12/2015,"R$ 2,56 B","- R$ 1,52 B","R$ 292,27 M","R$ 1,33 B",105
35,30/09/2015,"R$ 1,17 B","- R$ 1,13 B","- R$ 4,75 M","R$ 33,09 M",105
36,30/06/2015,"R$ 1,50 B","- R$ 1,09 B","- R$ 1,44 B","- R$ 1,04 B",105
37,31/03/2015,"R$ 1,78 B","- R$ 948,90 M","- R$ 1,05 B","- R$ 214,96 M",105
38,31/12/2014,"R$ 1,59 B","- R$ 933,01 M","- R$ 508,53 M","R$ 151,03 M",105
39,30/09/2014,"R$ 1,55 B","- R$ 1,17 B","- R$ 1,79 B","- R$ 1,41 B",105
40,30/06/2014,"R$ 1,30 B","- R$ 1,27 B","- R$ 710,13 M","- R$ 678,91 M",105
41,31/03/2014,"R$ 2,02 B","- R$ 1,52 B","R$ 974,16 M","R$ 1,47 B",105
42,31/12/2013,"R$ 2,52 B","- R$ 1,69 B","R$ 948,38 M","R$ 1,77 B",105
43,30/09/2013,"R$ 2,38 B","- R$ 1,97 B","R$ 2,40 B","R$ 2,81 B",105
44,30/06/2013,"R$ 2,69 B","- R$ 2,37 B","R$ 3,14 B","R$ 3,47 B",105
45,31/03/2013,"R$ 1,74 B","- R$ 3,14 B","R$ 1,51 B","R$ 105,97 M",105
46,31/12/2012,"R$ 2,14 B","- R$ 3,37 B","R$ 1,00 B","- R$ 221,94 M",105
47,30/09/2012,"R$ 2,18 B","- R$ 4,34 B","R$ 554,09 M","- R$ 1,61 B",105
48,30/06/2012,"R$ 2,34 B","- R$ 3,85 B","- R$ 883,87 M","- R$ 2,39 B",105
49,31/03/2012,"R$ 2,44 B","- R$ 2,83 B","R$ 1,12 B","R$ 740,14 M",105
50,31/12/2011,"R$ 2,49 B","- R$ 2,49 B","R$ 1,14 B","R$ 1,14 B",105
51,30/09/2011,"R$ 2,34 B","- R$ 1,49 B","R$ 2,29 B","R$ 3,13 B",105
52,30/06/2011,"R$ 2,05 B","- R$ 1,81 B","R$ 2,79 B","R$ 3,03 B",105
53,31/03/2011,"R$ 2,08 B","- R$ 1,92 B","R$ 116,78 M","R$ 276,90 M",105
