,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
36,30/06/2015,"R$ 216,00 M","R$ 10,07 B","- R$ 1,74 B","R$ 8,65 B",201
37,31/03/2015,"R$ 5,93 B","- R$ 7,32 B","- R$ 356,66 M","- R$ 1,81 B",201
38,31/12/2014,"R$ 5,53 B","- R$ 4,30 B","- R$ 1,17 B","R$ 24,38 M",201
39,30/09/2014,"- R$ 3,43 B","R$ 2,26 B","- R$ 840,67 M","R$ 2,21 B",201
40,30/06/2014,"- R$ 3,47 B","- R$ 1,33 B","R$ 14,50 B","R$ 18,24 B",201
41,31/03/2014,"R$ 5,25 B","- R$ 3,05 B","- R$ 2,07 B","R$ 188,88 M",201
42,31/12/2013,"R$ 7,04 B","- R$ 6,77 B","- R$ 2,30 B","- R$ 1,98 B",201
43,30/09/2013,"R$ 5,26 B","- R$ 6,52 B","- R$ 257,22 M","- R$ 1,47 B",201
44,30/06/2013,"R$ 6,26 B","- R$ 6,67 B","- R$ 1,81 B","- R$ 2,57 B",201
45,31/03/2013,"R$ 4,72 B","- R$ 6,81 B","- R$ 7,30 B","- R$ 9,49 B",201
46,31/12/2012,"R$ 3,86 B","- R$ 6,44 B","R$ 974,45 M","- R$ 1,59 B",201
47,30/09/2012,"R$ 4,66 B","- R$ 5,68 B","R$ 1,85 B","R$ 836,55 M",201
48,30/06/2012,"R$ 1,99 B","- R$ 4,60 B","R$ 5,31 B","R$ 3,22 B",201
49,31/03/2012,"R$ 2,21 B","- R$ 3,19 B","R$ 10,95 B","R$ 10,20 B",201
50,31/12/2011,"R$ 1,84 B","- R$ 2,09 B","R$ 2,92 B","R$ 2,79 B",201
51,30/09/2011,"R$ 2,12 B","- R$ 2,14 B","R$ 504,48 M","R$ 604,52 M",201
52,30/06/2011,"R$ 2,44 B","- R$ 1,89 B","- R$ 1,17 B","- R$ 620,62 M",201
53,31/03/2011,"R$ 2,87 B","- R$ 1,60 B","- R$ 414,47 M","R$ 857,26 M",201
