,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
74,31/12/2005,"R$ 81,92 M","R$ 14,27 M","- R$ 1,35 M",,,"R$ 825,00 mil","R$ 0,00",325
75,30/09/2005,"R$ 71,27 M","R$ 13,65 M","- R$ 2,12 M",,,"- R$ 136,00 mil","- R$ 0,00",325
76,30/06/2005,"R$ 109,50 M","R$ 17,84 M","R$ 2,34 M",,,"R$ 1,76 M","R$ 0,00",325
77,31/03/2005,"R$ 85,35 M","R$ 16,39 M","R$ 2,12 M",,,"R$ 2,78 M","R$ 0,00",325
78,31/12/2004,"R$ 97,74 M","R$ 18,13 M","R$ 920,00 mil",,,"R$ 2,79 M","R$ 0,00",325
79,30/09/2004,"R$ 136,70 M","R$ 30,63 M","R$ 223,08 M",,,"R$ 170,60 M","R$ 0,01",325
80,30/06/2004,"R$ 212,93 M","R$ 56,84 M","R$ 5,42 M",,,"- R$ 1,29 M","- R$ 0,00",325
81,31/03/2004,"R$ 178,93 M","R$ 46,92 M","R$ 528,00 mil",,,"- R$ 5,51 M","- R$ 0,00",325
82,31/12/2003,"R$ 196,58 M","R$ 45,56 M","R$ 2,63 M",,,"- R$ 3,32 M","- R$ 0,00",325
83,30/09/2003,"R$ 194,90 M","R$ 50,57 M","R$ 3,49 M",,,"- R$ 3,03 M","- R$ 0,00",325
84,30/06/2003,"R$ 204,80 M","R$ 49,27 M","R$ 5,51 M",,,"- R$ 1,00 M","- R$ 0,00",325
85,31/03/2003,"R$ 174,47 M","R$ 38,34 M","- R$ 3,05 M",,,"- R$ 8,53 M","- R$ 0,00",325
86,31/12/2002,"R$ 149,42 M","R$ 43,03 M","R$ 8,09 M",,,"R$ 5,61 M","R$ 0,00",325
87,30/09/2002,"R$ 147,01 M","R$ 46,85 M","R$ 3,16 M",,,"- R$ 3,96 M","- R$ 0,00",325
88,30/06/2002,"R$ 135,52 M","R$ 43,73 M","R$ 3,34 M",,,"- R$ 1,98 M","- R$ 0,00",325
89,31/03/2002,"R$ 121,18 M","R$ 44,70 M","R$ 4,71 M",,,"- R$ 64,00 mil","- R$ 0,00",325
90,31/12/2001,"R$ 227,47 M","R$ 87,64 M","R$ 7,01 M",,,"- R$ 5,06 M","- R$ 0,00",325
91,30/06/2001,"R$ 109,77 M","R$ 39,80 M","R$ 2,51 M",,,"- R$ 2,64 M","- R$ 0,00",325
92,31/03/2001,"R$ 98,29 M","R$ 34,84 M","- R$ 331,00 mil",,,"- R$ 6,17 M","- R$ 0,00",325
93,31/12/2000,"R$ 101,44 M","R$ 39,79 M","R$ 9,79 M",,,"R$ 2,94 M","R$ 0,00",325
94,30/09/2000,"R$ 101,38 M","R$ 39,95 M","R$ 5,30 M",,,"R$ 475,00 mil","R$ 0,00",325
95,30/06/2000,"R$ 87,08 M","R$ 35,12 M","R$ 1,27 M",,,"- R$ 2,25 M","- R$ 0,00",325
96,31/03/2000,"R$ 82,39 M","R$ 32,29 M","R$ 1,13 M",,,"- R$ 302,00 mil","- R$ 0,00",325
