,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
11,30/09/2021,"R$ 1,65 B","R$ 505,36 M","- R$ 21,87 M","- R$ 178,96 M","R$ 157,09 M","- R$ 78,31 M","- R$ 0,27",178
12,30/06/2021,"R$ 1,40 B","R$ 410,62 M","- R$ 57,65 M","- R$ 174,65 M","R$ 117,00 M","- R$ 78,91 M","- R$ 0,28",178
13,31/03/2021,"R$ 1,11 B","R$ 260,50 M","- R$ 562,96 M","- R$ 179,78 M","- R$ 383,18 M","- R$ 482,89 M","- R$ 1,69",178
14,31/12/2020,"R$ 1,15 B","R$ 271,47 M","- R$ 556,90 M","- R$ 178,89 M","- R$ 378,02 M","- R$ 473,58 M","- R$ 1,65",178
15,30/09/2020,"R$ 1,23 B","R$ 312,52 M","- R$ 518,13 M","- R$ 157,81 M","- R$ 360,32 M","- R$ 459,39 M","- R$ 1,60",178
16,30/06/2020,"R$ 1,36 B","R$ 370,67 M","- R$ 473,77 M","- R$ 99,51 M","- R$ 374,26 M","- R$ 437,54 M","- R$ 2,23",178
17,31/03/2020,"R$ 1,61 B","R$ 489,80 M","R$ 7,55 M","- R$ 71,46 M","R$ 79,01 M","- R$ 53,98 M","- R$ 0,28",178
18,31/12/2019,"R$ 1,60 B","R$ 512,71 M","R$ 49,42 M","- R$ 81,47 M","R$ 130,89 M","- R$ 15,84 M","- R$ 0,08",178
19,30/09/2019,"R$ 1,57 B","R$ 498,99 M","R$ 44,28 M","- R$ 78,63 M","R$ 122,90 M","R$ 8,01 M","R$ 0,05",178
20,30/06/2019,"R$ 1,59 B","R$ 510,20 M","R$ 37,53 M","- R$ 114,47 M","R$ 152,01 M","R$ 4,46 M","R$ 0,03",178
21,31/03/2019,"R$ 1,58 B","R$ 509,10 M","R$ 31,93 M","- R$ 97,81 M","R$ 129,74 M","R$ 6,32 M","R$ 0,04",178
