,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
55,30/09/2010,"R$ 3,25 B","R$ 585,53 M","R$ 8,51",31.130.000,37.712.000,37.712.000,68.842.000,0,0,0,0,31.130.000,37.712.000,68.842.000
56,30/06/2010,"R$ 3,10 B","R$ 454,26 M","R$ 6,60",31.130.000,37.712.000,37.712.000,68.842.000,0,0,0,0,31.130.000,37.712.000,68.842.000
57,31/03/2010,"R$ 3,05 B","R$ 444,15 M","R$ 6,45",31.130.000,37.712.000,37.712.000,68.842.000,0,0,0,0,31.130.000,37.712.000,68.842.000
58,31/12/2009,"R$ 2,70 B","R$ 331,37 M","R$ 4,88",30.902.000,37.005.000,37.005.000,67.907.000,0,0,0,0,30.902.000,37.005.000,67.907.000
59,30/09/2009,"R$ 2,53 B","R$ 229,40 M","R$ 34,90",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
60,30/06/2009,"R$ 2,49 B","R$ 187,40 M","R$ 28,51",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
61,31/03/2009,"R$ 2,39 B","R$ 186,74 M","R$ 28,41",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
62,31/12/2008,"R$ 2,28 B","R$ 183,92 M","R$ 27,98",2.272.000,4.301.000,4.301.000,6.573.000,0,0,0,0,2.272.000,4.301.000,6.573.000
63,30/09/2008,"R$ 2,33 B","R$ 201,83 M","R$ 30,71",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
64,30/06/2008,"R$ 2,29 B","R$ 108,46 M","R$ 16,50",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
65,31/03/2008,"R$ 2,32 B","R$ 129,41 M","R$ 19,69",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
66,31/12/2007,"R$ 2,25 B","R$ 154,59 M","R$ 23,52",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
67,30/09/2007,"R$ 2,23 B","R$ 142,21 M","R$ 21,64",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
68,30/06/2007,"R$ 2,22 B","R$ 147,75 M","R$ 22,48",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
69,31/03/2007,"R$ 2,17 B","R$ 110,46 M","R$ 16,81",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
70,31/12/2006,"R$ 2,17 B","R$ 136,14 M","R$ 20,71",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
71,30/09/2006,"R$ 2,14 B","R$ 103,93 M","R$ 15,81",2.272.245,4.300.601,4.300.601,6.572.846,0,0,0,0,2.272.245,4.300.601,6.572.846
72,30/06/2006,"R$ 2,08 B","R$ 120,05 M","R$ 20,22",2.154.779,3.784.052,3.784.052,5.938.831,0,0,0,0,2.154.779,3.784.052,5.938.831
73,31/03/2006,"R$ 2,01 B","R$ 116,75 M","R$ 20,36",1.981.856,3.750.990,3.750.990,5.732.846,0,0,0,0,1.981.856,3.750.990,5.732.846
74,31/12/2005,"R$ 1,97 B","R$ 115,84 M","R$ 20,21",1.981.856,3.750.990,3.750.990,5.732.846,0,0,0,0,1.981.856,3.750.990,5.732.846
75,30/09/2005,"R$ 1,87 B","R$ 90,05 M","R$ 15,71",1.981.856,3.750.990,3.750.990,5.732.846,0,0,0,0,1.981.856,3.750.990,5.732.846
76,30/06/2005,"R$ 1,83 B","R$ 93,29 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
77,31/03/2005,"R$ 1,69 B","R$ 39,88 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
78,31/12/2004,"R$ 1,68 B","R$ 67,80 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
79,30/09/2004,"R$ 1,68 B","R$ 106,57 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
80,30/06/2004,"R$ 1,68 B","R$ 108,22 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
81,31/03/2004,"R$ 1,52 B","R$ 66,90 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
82,31/12/2003,"R$ 1,47 B","- R$ 40,26 M","- R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
83,30/09/2003,"R$ 1,67 B","- R$ 15,27 M","- R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
84,30/06/2003,"R$ 1,66 B","R$ 2,99 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
85,31/03/2003,"R$ 1,60 B","R$ 5,45 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
86,31/12/2002,"R$ 1,57 B","R$ 50,68 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
87,30/09/2002,"R$ 1,54 B","R$ 85,74 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
88,30/06/2002,"R$ 1,58 B","R$ 178,25 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
89,31/03/2002,"R$ 1,60 B","R$ 239,78 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
90,31/12/2001,"R$ 1,63 B","R$ 272,23 M","R$ 0,00",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
91,30/09/2001,"R$ 1,60 B","R$ 341,96 M","R$ 0,01",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
92,31/03/2001,"R$ 1,52 B","R$ 345,78 M","R$ 0,01",19.818.564.000,37.509.898.000,37.509.898.000,57.328.462.000,0,0,0,0,19.818.564.000,37.509.898.000,57.328.462.000
93,31/12/2000,"R$ 1,52 B","R$ 364,50 M","R$ 0,01",19.818.564.000,37.914.262.000,37.914.262.000,57.732.826.000,100.000,0,0,100.000,19.818.464.000,37.914.262.000,57.732.726.000
94,30/09/2000,"R$ 1,59 B","R$ 480,04 M","R$ 0,01",19.818.565.000,37.914.261.000,37.914.261.000,57.732.826.000,0,165.750.000,165.750.000,165.750.000,19.818.565.000,37.748.511.000,57.567.076.000
95,30/06/2000,"R$ 1,61 B","R$ 460,00 M","R$ 0,01",19.818.565.000,32.749.951.000,32.749.951.000,52.568.516.000,0,165.750.000,165.750.000,165.750.000,19.818.565.000,32.584.201.000,52.402.766.000
96,31/03/2000,"R$ 1,62 B","R$ 514,81 M","R$ 0,01",19.818.565.000,32.749.951.000,32.749.951.000,52.568.516.000,0,165.800.000,165.800.000,165.800.000,19.818.565.000,32.584.151.000,52.402.716.000
