,Ticker,Nome
94,PATL11,PÁTRIA LOGÍSTICA
95,SNEL11,SUNO ENERGIAS LIMPAS
96,CPSH11,SHOPPINGS AAA FDO DE INV IMOB
97,KDIF11,KINEA FI - INFRA
98,CPTI11,Capitânia Infra FIC FI-INFRA RF CP
99,TVRI11,TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOB
100,SNCI11,SUNO RECEBÍVEIS IMOBILIÁRIOS
101,IFRA11,ITAU FDO INV COTAS FDO INCENT DE INV INFR. RF CP
102,SDIL11,SDI LOGÍSTICA RIO
103,CARE11,BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII
104,FATN11,ATHENA I
105,MCHY11,MAUÁ CAPITAL HIGH YIELD
106,CXAG11,CAIXA AGÊNCIAS
107,RBFF11,RIO BRAVO FUNDO
108,BCIA11,BRADESCO CARTEIRA IMOBILIÁRIA ATIVA
109,KNHY11,KINEA HIGH YIELD CRI
110,AIEC11,AUTONOMY EDIFÍCIOS CORPORATIVOS
111,CXCO11,CAIXA IMÓVEIS CORPORATIVOS
112,NCRA11,NCH EQI RECEBÍVEIS DO AGRONEGÓCIO
113,TRBL11,FDO DE INVEST IMOB TELLUS RIO BRAVO RENDA LOGISTIC
114,INLG11,INTER  INTER LOGÍSTICO FII
115,GCRA11,GALÁPAGOS RECEBÍVEIS DO AGRONEGÓCIO
116,OUJP11,OURINVEST JPP
117,LGCP11,LOGCP INTER (OLD)
118,AJFI11,AJ MALLS
119,WHGR11,WHG REAL ESTATE
120,BBFI11,BB PROGRESSIVO
121,VCRI11,VINCI CREDIT
122,ABCP11,GRAND PLAZA SHOPPING
123,KFOF11,KINEA FII
124,RBRX11,RBR PLUS MULTIESTRATÉGIA REAL ESTATE
125,LIFE11,Life Capital
126,PATC11,PÁTRIA EDIFÍCIOS CORPORATIVOS
127,RBRL11,RBR LOG
128,BODB11,Bocaina Infra
129,VCRA11,VECTIS DATAGRO CR AGR
130,JPPA11,JPP ALLOCATION MOGNO
131,APTO11,NAVI RESIDENCIAL
132,KCRE11,KINEA CREDITAS
133,CDII11,Sparta Infra CDI FIC FI-Infra
134,SNFF11,SUNOFOFI - FII
135,GSFI11,GENERAL SHOP E OUTLETS DO BRASIL
136,BTRA11,BTG PACTUAL TERRAS AGRÍCOLAS
137,BARI11,BARIGUI RENDIMENTOS IMOBILIÁRIOS I
138,VCJR11,VECTIS JUROS REAL
139,QAGR11,QUASAR AGRO
140,EQIR11,EQI RECEBÍVEIS IMOBILIÁRIOS
141,SPXS11,SPX SYN MULT
142,HGPO11,CSHG PRIME OFFICES
143,FAED11,ANHANGUERA EDUCACIONAL
144,VVCR11,BB RENDA DE PAPEIS IMOBILIÁRIOS II
145,ALZM11,ALIANZA MULTIESTRATÉGIA
146,SPTW11,SP DOWNTOWN FUNDOS
147,BBIG11,FII BBIG
148,PLCR11,PLURAL RECEBÍVEIS
149,SADI11,SANTANDER PAPEIS IMOBILIÁRIOS CDI
150,JGPX11,JGP Crédito
151,MANA11,MANATÍ CAPITAL HEDGE FUND
152,KIVO11,KILIMA VOLKANO RECEBÍVEIS IMOBILIÁRIOS
153,VTLT11,VOTORANTIM LOGÍSTICA
154,LSAG11,LESTE FUNDO INVEST CAD PROD AGROIND
155,BNFS11,BANRISUL NOVAS FRONTEIRAS
156,MGHT11,MOGNO HOTÉIS
157,RCRB11,RIO BRAVO RENDA CORPORATIVA
158,SNID11,SUNO INFRA DEBÊNTURES INFRA RENDA FIXA CP
159,BTAG11,BTG Pactual Crédito Agrícola Fiagro
160,BPML11,BTG PACTUAL SHOPPINGS
161,BBRC11,BB RENDA CORPORATIVA
162,BROF11,BRPR CORPORATE OFFICES
163,RBED11,RIO BRAVO RENDA EDUCACIONAL
164,OURE11,OURINVEST RENDA ESTRUTURADA
165,HGFF11,CSHG IMOBILIÁRIO FOF
166,KORE11,Kinea Oportunidades Real Estate
167,JSAF11,JS ATIVOS FINANCEIROS
168,BPFF11,BRASIL PLURAL ABSOLUTO
169,BIDB11,INTER FI-INFRA
170,KNRE11,KINEA II REAL ESTATE EQUITY
171,BIME11,BRIO MULTIESTRATÉGIA
172,NCHB11,NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS
173,RBHG11,RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE
174,RVBI11,VBI REITS FOF
175,FIGS11,GENERAL SHOPPING FUNDO DE INVESTIMENTO
176,XPCM11,XP CORPORATE MACAÉ
177,KNHF11,KINEA HEDGE FUND FDO DE INV IMOB
178,CRAA11,SPARTA FIAGRO FDO INV NAS CAD PROD AGRO
179,VSHO11,VOTORANTIM SHOPPING
180,NVHO11,NOVO HORIZONTE
181,VIGT11,VINCI ENERGIA
182,HGAG11,HIGH FIAGRO
183,VIFI11,VINCI INSTRUMENTOS FINANCEIROS
184,NAVT11,NAVI IMOBILIÁRIO TOTAL RETURN
185,ZAVI11,ZAVIT REAL ESTATE
186,RBVO11,RIO BRAVO CRÉDITO IMOBILIÁRIO II
187,LFTT11,LOFT II
188,OUFF11,OURINVEST
189,MGCR11,MOGNO CRI HIGH GRADE
190,HOFC11,HEDGE OFFICE INCOME
191,SEQR11,SEQUOIA III RENDA IMOBILIÁRIA
192,CPFF11,CAPITÂNIA REIT FOF
193,FVPQ11,VIA PARQUE SHOPPING
194,HCRI11,HOSPITAL DA CRIANÇA
195,KNUQ11,KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB
196,PLCA11,PLURAL CRÉDITO AGRO
197,BTCR11,BTG PACTUAL CRÉDITO IMOBILIÁRIO
198,KINP11,EVEN PERMUTA KINEA
199,VCRR11,VECTIS RENDA RESIDENCIAL
200,EURO11,EUROPAR
201,LSPA11,LESTE RIVA EQUITY PREFERENCIAL I
202,IBCR11,CRI INTEGRAL BREI
203,MAXR11,MAX RETAIL
204,RBHY11,RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH YIELD
205,BPRP11,BRLPROP
206,SNLG11,Suno Log Fundo de Investimento Imobiliario
