,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
21,31/03/2019,"R$ 181,83 M","- R$ 233,38 M","R$ 275,56 M","R$ 205,33 M",79
22,31/12/2018,"R$ 203,66 M","- R$ 781,63 M","R$ 650,26 M","R$ 51,80 M",79
23,30/09/2018,"R$ 461,77 M","- R$ 498,67 M","R$ 191,12 M","R$ 181,94 M",79
24,30/06/2018,"R$ 484,40 M","- R$ 927,58 M","R$ 386,67 M","- R$ 58,23 M",79
25,31/03/2018,"R$ 235,33 M","- R$ 675,81 M","R$ 411,90 M","- R$ 38,88 M",79
26,31/12/2017,"R$ 261,82 M","- R$ 406,47 M","R$ 131,34 M","- R$ 11,31 M",79
27,30/09/2017,"R$ 339,30 M","- R$ 697,88 M","R$ 297,02 M","- R$ 45,30 M",79
28,30/06/2017,"R$ 120,32 M","- R$ 627,45 M","R$ 462,15 M","- R$ 7,01 M",79
29,31/03/2017,"- R$ 63,35 M","- R$ 464,21 M","R$ 508,17 M","R$ 3,01 M",79
30,31/12/2016,"- R$ 32,20 M","- R$ 412,24 M","R$ 442,73 M","- R$ 12,86 M",79
31,30/09/2016,"- R$ 228,84 M","- R$ 53,28 M","R$ 281,85 M","R$ 51,56 M",79
32,30/06/2016,"- R$ 135,80 M","R$ 56,37 M","R$ 85,98 M","R$ 27,91 M",79
33,31/03/2016,"R$ 84,87 M","- R$ 528,02 M","R$ 392,73 M","- R$ 31,49 M",79
34,31/12/2015,"- R$ 24,93 M","- R$ 912,44 M","R$ 899,78 M","R$ 10,27 M",79
35,30/09/2015,"R$ 4,51 M","- R$ 962,14 M","R$ 863,50 M","- R$ 120,93 M",79
36,30/06/2015,"- R$ 10,86 M","- R$ 1,20 B","R$ 915,52 M","- R$ 241,88 M",79
37,31/03/2015,"- R$ 124,12 M","- R$ 791,89 M","R$ 711,27 M","- R$ 177,32 M",79
38,31/12/2014,"- R$ 43,41 M","- R$ 550,02 M","R$ 607,18 M","R$ 14,70 M",79
39,30/09/2014,"- R$ 46,52 M","- R$ 608,44 M","R$ 795,82 M","R$ 154,31 M",79
40,30/06/2014,"- R$ 63,53 M","- R$ 605,86 M","R$ 908,58 M","R$ 199,83 M",79
41,31/03/2014,"- R$ 38,15 M","- R$ 613,57 M","R$ 886,12 M","R$ 256,81 M",79
42,31/12/2013,"R$ 9,02 M","- R$ 556,14 M","R$ 477,25 M","- R$ 33,84 M",79
43,30/09/2013,"R$ 30,12 M","- R$ 336,01 M","R$ 243,44 M","- R$ 40,73 M",79
44,30/06/2013,"R$ 6,20 M","- R$ 162,08 M","R$ 163,22 M","R$ 27,24 M",79
45,31/03/2013,"- R$ 9,82 M","- R$ 95,99 M","R$ 65,87 M","- R$ 38,63 M",79
46,31/12/2012,"- R$ 44,30 M","- R$ 31,28 M","R$ 135,30 M","R$ 63,85 M",79
47,30/09/2012,"- R$ 41,47 M","- R$ 29,53 M","R$ 135,39 M","R$ 67,65 M",79
48,30/06/2012,"- R$ 15,61 M","- R$ 45,50 M","R$ 153,63 M","R$ 95,90 M",79
49,31/03/2012,"- R$ 17,80 M","- R$ 49,96 M","R$ 177,05 M","R$ 109,28 M",79
50,31/12/2011,"- R$ 15,40 M","- R$ 37,49 M","R$ 107,61 M","R$ 54,72 M",79
51,30/09/2011,"- R$ 12,84 M","- R$ 29,36 M","R$ 107,35 M","R$ 65,74 M",79
52,30/06/2011,"- R$ 4,52 M","- R$ 9,31 M","R$ 16,11 M","R$ 2,87 M",79
53,31/03/2011,"- R$ 2,61 M","- R$ 478,00 mil","R$ 16,80 M","R$ 13,71 M",79
