,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
36,30/06/2015,"R$ 39,28 M","R$ 32,20 M","R$ 5,33",6.038.183,0,0,6.038.183,0,0,0,0,6.038.183,0,6.038.183,305
37,31/03/2015,"R$ 45,07 M","R$ 33,64 M","R$ 5,57",6.038.183,0,0,6.038.183,0,0,0,0,6.038.183,0,6.038.183,305
38,31/12/2014,"R$ 42,54 M","R$ 33,49 M","R$ 5,55",6.038.183,0,0,6.038.183,0,0,0,0,6.038.183,0,6.038.183,305
39,30/09/2014,"R$ 44,56 M","R$ 31,10 M","R$ 5,15",6.038.183,0,0,6.038.183,0,0,0,0,6.038.183,0,6.038.183,305
40,30/06/2014,"R$ 45,11 M","R$ 29,84 M","R$ 4,98",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
41,31/03/2014,"R$ 52,90 M","R$ 31,12 M","R$ 5,19",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
42,31/12/2013,"R$ 56,59 M","R$ 40,48 M","R$ 6,75",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
43,30/09/2013,"R$ 54,84 M","R$ 43,74 M","R$ 7,29",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
44,30/06/2013,"R$ 53,68 M","R$ 43,18 M","R$ 7,20",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
45,31/03/2013,"R$ 61,45 M","R$ 44,24 M","R$ 7,38",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
46,31/12/2012,"R$ 62,66 M","R$ 50,72 M","R$ 8,46",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
47,30/09/2012,"R$ 63,80 M","R$ 51,73 M","R$ 8,63",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
48,30/06/2012,"R$ 61,50 M","R$ 50,25 M","R$ 8,38",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
49,31/03/2012,"R$ 72,62 M","R$ 59,78 M","R$ 9,97",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
50,31/12/2011,"R$ 67,39 M","R$ 56,60 M","R$ 9,44",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
51,30/09/2011,"R$ 66,46 M","R$ 56,34 M","R$ 9,40",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
52,30/06/2011,"R$ 75,84 M","R$ 63,45 M","R$ 10,58",5.996.334,0,0,5.996.334,0,0,0,0,5.996.334,0,5.996.334,305
53,31/03/2011,"R$ 79,37 M","R$ 66,01 M","R$ 12,11",5.451.213,0,0,5.451.213,0,0,0,0,5.451.213,0,5.451.213,305
54,31/12/2010,"R$ 87,42 M","R$ 67,01 M","R$ 12,29",5.451.213,0,0,5.451.213,0,0,0,0,5.451.213,0,5.451.213,305
55,30/09/2010,"R$ 122,67 M","R$ 79,17 M","R$ 14,52",5.451.213,0,0,5.451.213,0,0,0,0,5.451.213,0,5.451.213,305
56,30/06/2010,"R$ 114,71 M","R$ 45,12 M","R$ 8,28",5.451.213,0,0,5.451.213,0,0,0,0,5.451.213,0,5.451.213,305
57,31/03/2010,"R$ 144,82 M","R$ 53,09 M","R$ 10,71",4.955.649,0,0,4.955.649,0,0,0,0,4.955.649,0,4.955.649,305
58,31/12/2009,"R$ 148,81 M","R$ 49,39 M","R$ 9,97",4.955.649,0,0,4.955.649,0,0,0,0,4.955.649,0,4.955.649,305
59,30/09/2009,"R$ 169,07 M","R$ 67,61 M","R$ 13,64",4.955.649,0,0,4.955.649,0,0,0,0,4.955.649,0,4.955.649,305
60,30/06/2009,"R$ 130,95 M","R$ 38,97 M","R$ 7,86",4.955.649,0,0,4.955.649,0,0,0,0,4.955.649,0,4.955.649,305
61,31/03/2009,"R$ 123,64 M","R$ 23,32 M","R$ 4,26",2.607.444,2.865.812,2.865.812,5.473.256,100,103.100,103.100,103.200,2.607.344,2.762.712,5.370.056,305
62,31/12/2008,"R$ 133,64 M","R$ 20,93 M","R$ 3,82",2.607.444,2.865.812,2.865.812,5.473.256,100,103.100,103.100,103.200,2.607.344,2.762.712,5.370.056,305
63,30/09/2008,"R$ 131,05 M","R$ 25,32 M","R$ 4,63",2.607.444,2.865.812,2.865.812,5.473.256,0,103.100,103.100,103.100,2.607.444,2.762.712,5.370.156,305
64,30/06/2008,"R$ 128,81 M","R$ 28,33 M","R$ 5,18",2.607.444,2.865.812,2.865.812,5.473.256,0,69.600,69.600,69.600,2.607.444,2.796.212,5.403.656,305
65,31/03/2008,"R$ 118,19 M","R$ 27,68 M","R$ 10,12",1.303.722,1.432.906,1.432.906,2.736.628,0,0,0,0,1.303.722,1.432.906,2.736.628,305
66,31/12/2007,"R$ 121,17 M","R$ 35,62 M","R$ 13,02",1.303.722,1.432.906,1.432.906,2.736.628,0,0,0,0,1.303.722,1.432.906,2.736.628,305
67,30/09/2007,"R$ 127,88 M","R$ 35,45 M","R$ 12,95",1.303.722,1.432.906,1.432.906,2.736.628,0,0,0,0,1.303.722,1.432.906,2.736.628,305
68,30/06/2007,"R$ 109,49 M","R$ 37,50 M","R$ 13,70",1.303.722,1.432.906,1.432.906,2.736.628,0,0,0,0,1.303.722,1.432.906,2.736.628,305
69,31/03/2007,"R$ 139,63 M","R$ 14,95 M","R$ 5,46",1.303.722,1.432.906,1.432.906,2.736.628,0,0,0,0,1.303.722,1.432.906,2.736.628,305
70,31/12/2006,"R$ 137,25 M","R$ 9,90 M","R$ 3,62",1.303.722,1.432.906,1.432.906,2.736.628,0,0,0,0,1.303.722,1.432.906,2.736.628,305
71,30/09/2006,"R$ 140,17 M","R$ 3,67 M","R$ 1,22",1.303.722,1.692.833,1.692.833,2.996.555,0,259.927,259.927,259.927,1.303.722,1.432.906,2.736.628,305
72,30/06/2006,"R$ 146,77 M","R$ 20,78 M","R$ 6,93",1.303.722,1.692.833,1.692.833,2.996.555,0,0,0,0,1.303.722,1.692.833,2.996.555,305
73,31/03/2006,"R$ 144,84 M","R$ 22,31 M","R$ 7,42",1.303.722,1.703.233,1.703.233,3.006.955,0,10.400,10.400,10.400,1.303.722,1.692.833,2.996.555,305
74,31/12/2005,"R$ 143,65 M","R$ 27,12 M","R$ 9,02",1.303.722,1.703.233,1.703.233,3.006.955,0,10.400,10.400,10.400,1.303.722,1.692.833,2.996.555,305
75,30/09/2005,"R$ 138,84 M","R$ 28,75 M","R$ 9,56",1.303.722,1.703.233,1.703.233,3.006.955,0,10.400,10.400,10.400,1.303.722,1.692.833,2.996.555,305
76,30/06/2005,"R$ 140,48 M","R$ 30,67 M","R$ 10,20",1.303.722,1.703.233,1.703.233,3.006.955,0,400,400,400,1.303.722,1.702.833,3.006.555,305
77,31/03/2005,"R$ 129,26 M","R$ 24,93 M","R$ 8,29",1.303.722,1.703.233,1.703.233,3.006.955,0,0,0,0,1.303.722,1.703.233,3.006.955,305
78,31/12/2004,"R$ 119,90 M","R$ 25,21 M","R$ 8,39",1.303.722,1.703.233,1.703.233,3.006.955,0,0,0,0,1.303.722,1.703.233,3.006.955,305
79,30/09/2004,"R$ 108,23 M","R$ 19,14 M","R$ 0,06",130.372.229,177.823.303,177.823.303,308.195.532,0,7.500.000,7.500.000,7.500.000,130.372.229,170.323.303,300.695.532,305
80,30/06/2004,"R$ 96,49 M","R$ 19,66 M","R$ 0,06",130.372.229,177.823.303,177.823.303,308.195.532,0,3.320.000,3.320.000,3.320.000,130.372.229,174.503.303,304.875.532,305
81,31/03/2004,"R$ 92,15 M","R$ 22,00 M","R$ 0,07",130.372.229,177.823.303,177.823.303,308.195.532,0,0,0,0,130.372.229,177.823.303,308.195.532,305
