,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
18,31/12/2019,"R$ 46,57 M","- R$ 16,35 M","- R$ 30,70 M","- R$ 474,00 mil",147
19,30/09/2019,"R$ 59,15 M","- R$ 10,83 M","- R$ 46,71 M","R$ 1,62 M",147
20,30/06/2019,"R$ 128,68 M","- R$ 7,44 M","- R$ 117,28 M","R$ 3,95 M",147
21,31/03/2019,"R$ 74,39 M","- R$ 4,09 M","- R$ 69,47 M","R$ 833,00 mil",147
22,31/12/2018,"R$ 10,02 M","- R$ 12,74 M","R$ 2,07 M","- R$ 646,00 mil",147
23,30/09/2018,"R$ 220,00 M","- R$ 178,17 M","- R$ 41,92 M","- R$ 81,00 mil",147
24,30/06/2018,"R$ 44,90 M","- R$ 4,90 M","- R$ 35,95 M","R$ 4,05 M",147
25,31/03/2018,"R$ 49,27 M","- R$ 5,95 M","- R$ 43,17 M","R$ 144,00 mil",147
26,31/12/2017,"R$ 68,77 M","- R$ 3,65 M","- R$ 64,41 M","R$ 713,00 mil",147
27,30/09/2017,"R$ 113,41 M","- R$ 2,91 M","- R$ 111,07 M","- R$ 564,00 mil",147
28,30/06/2017,"R$ 97,78 M","- R$ 5,18 M","- R$ 90,63 M","R$ 1,96 M",147
29,31/03/2017,"R$ 9,53 M","- R$ 3,81 M","- R$ 12,20 M","- R$ 6,48 M",147
30,31/12/2016,"R$ 40,20 M","- R$ 2,80 M","- R$ 34,76 M","R$ 2,65 M",147
31,30/09/2016,"R$ 36,97 M","- R$ 18,15 M","- R$ 16,10 M","R$ 2,72 M",147
32,30/06/2016,"R$ 104,34 M","- R$ 969,00 mil","- R$ 101,82 M","R$ 1,55 M",147
33,31/03/2016,"R$ 14,79 M","- R$ 5,38 M","- R$ 10,64 M","- R$ 1,23 M",147
34,31/12/2015,"R$ 44,07 M","- R$ 6,70 M","- R$ 37,09 M","R$ 286,00 mil",147
35,30/09/2015,"R$ 53,86 M","- R$ 3,13 M","- R$ 49,54 M","R$ 1,20 M",147
36,30/06/2015,"R$ 128,99 M","- R$ 2,44 M","- R$ 122,31 M","R$ 4,24 M",147
37,31/03/2015,"R$ 10,17 M","- R$ 5,01 M","- R$ 7,13 M","- R$ 1,98 M",147
38,31/12/2014,"R$ 65,73 M","- R$ 2,37 M","- R$ 70,12 M","- R$ 6,77 M",147
39,30/09/2014,"R$ 74,17 M","- R$ 4,41 M","- R$ 61,75 M","R$ 8,01 M",147
40,30/06/2014,"R$ 133,68 M","- R$ 11,16 M","- R$ 117,69 M","R$ 4,84 M",147
41,31/03/2014,"R$ 6,82 M","- R$ 4,46 M","- R$ 6,20 M","- R$ 3,83 M",147
42,31/12/2013,"R$ 47,54 M","- R$ 4,56 M","- R$ 42,78 M","R$ 194,00 mil",147
43,30/09/2013,"R$ 38,96 M","- R$ 1,91 M","- R$ 31,92 M","R$ 5,13 M",147
44,30/06/2013,"R$ 102,15 M","- R$ 2,92 M","- R$ 99,60 M","- R$ 362,00 mil",147
45,31/03/2013,"R$ 28,04 M","- R$ 9,84 M","- R$ 17,32 M","R$ 882,00 mil",147
46,31/12/2012,"R$ 37,24 M","- R$ 2,62 M","- R$ 34,52 M","R$ 103,00 mil",147
47,30/09/2012,"R$ 42,25 M","- R$ 1,47 M","- R$ 41,95 M","- R$ 1,17 M",147
48,30/06/2012,"R$ 117,90 M","- R$ 4,74 M","- R$ 114,07 M","- R$ 904,00 mil",147
49,31/03/2012,"R$ 26,41 M","- R$ 2,11 M","- R$ 25,96 M","- R$ 1,66 M",147
50,31/12/2011,"R$ 15,56 M","- R$ 3,64 M","- R$ 10,73 M","R$ 1,19 M",147
51,30/09/2011,"R$ 74,29 M","- R$ 3,17 M","- R$ 70,61 M","R$ 510,00 mil",147
52,30/06/2011,"R$ 18,61 M","- R$ 2,07 M","- R$ 18,55 M","- R$ 2,01 M",147
53,31/03/2011,"R$ 16,32 M","- R$ 2,04 M","- R$ 17,11 M","- R$ 2,83 M",147
