,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
54,31/12/2010,"42,62%","5,78%","42,60%","3,81%","1,51","5,19","4,19"
55,30/09/2010,"-165,56%","48,32%","44,37%","30,59%","1,58","5,58","4,58"
56,30/06/2010,"-165,56%","48,32%","44,37%","30,59%","1,58","5,58","4,58"
57,31/03/2010,"-151,33%","43,89%","43,97%","33,85%","1,30","5,50","4,50"
58,31/12/2009,"-143,59%","41,22%","40,92%","31,28%","1,32","7,38","6,38"
59,30/09/2009,"-10,38%","3,01%","44,05%","2,35%","1,28","-3,43","-4,43"
60,30/06/2009,"19,04%","-6,07%","40,42%","-4,62%","1,31","-3,23","-4,23"
61,31/03/2009,"16,19%","-5,17%","41,22%","-3,59%","1,44","-3,45","-4,45"
62,31/12/2008,"9,33%","-3,07%","43,34%","-1,93%","1,59","-3,48","-4,48"
63,30/09/2008,"14,43%","-5,59%","38,14%","-3,75%","1,49","-3,44","-4,44"
64,30/06/2008,"25,04%","-9,52%","38,09%","-7,28%","1,31","-3,14","-4,14"
65,31/03/2008,"20,51%","-8,14%","37,52%","-6,58%","1,24","-3,13","-4,13"
66,31/12/2007,"13,72%","-5,50%","36,81%","-4,88%","1,13","-3,04","-4,04"
67,30/09/2007,"-5,08%","2,52%","35,32%","2,46%","1,03","-2,58","-3,58"
68,30/06/2007,"-4,05%","2,12%","34,73%","1,94%","1,09","-2,63","-3,63"
69,31/03/2007,"-3,61%","1,95%","33,94%","1,74%","1,12","-2,52","-3,52"
70,31/12/2006,"3,89%","-2,27%","35,34%","-1,83%","1,24","-2,49","-3,49"
71,30/09/2006,"17,08%","-10,55%","35,67%","-8,53%","1,24","-2,01","-3,01"
72,30/06/2006,"14,81%","-9,38%","36,37%","-7,45%","1,26","-1,91","-2,91"
73,31/03/2006,"7,74%","-5,11%","37,96%","-4,01%","1,27","-1,85","-2,85"
74,31/12/2005,"8,08%","-5,61%","36,74%","-4,16%","1,35","-1,71","-2,71"
75,30/09/2005,"29,66%","-16,54%","37,14%","-14,04%","1,18","-1,62","-2,62"
76,30/06/2005,"26,14%","-15,47%","35,73%","-12,51%","1,24","-1,58","-2,58"
77,31/03/2005,"42,27%","-24,44%","35,30%","-19,50%","1,25","-1,51","-2,51"
78,31/12/2004,"50,55%","-29,32%","35,03%","-22,20%","1,32","-1,44","-2,44"
79,30/09/2004,"14,63%","-9,53%","34,47%","-7,53%","1,26","-1,79","-2,79"
80,30/06/2004,"25,65%","-15,72%","33,33%","-12,75%","1,23","-1,69","-2,69"
81,31/03/2004,"9,98%","-6,70%","32,09%","-5,41%","1,24","-1,73","-2,73"
82,31/12/2003,"7,01%","-4,70%","30,91%","-3,78%","1,24","-1,72","-2,72"
83,30/09/2003,"106,87%","-38,41%","31,23%","-37,15%","1,03","-1,53","-2,53"
84,30/06/2003,"333,05%","-52,27%","31,85%","-50,07%","1,04","-1,63","-2,63"
85,31/03/2003,"742,51%","-61,13%","32,45%","-58,03%","1,05","-1,49","-2,49"
86,31/12/2002,"1.491,79%","-59,24%","33,54%","-59,06%","1,00","-1,49","-2,49"
87,30/09/2002,"-2.015,38%","-34,54%","33,35%","-37,61%","0,92","-2,78","-3,78"
88,30/06/2002,"-1.023,46%","-16,93%","34,92%","-17,85%","0,95","-6,37","-7,37"
89,31/03/2002,"-242,11%","-13,85%","35,11%","-14,87%","0,93","-12,15","-13,15"
90,31/12/2001,"-139,02%","-14,96%","34,72%","-15,22%","0,98","-25,18","-26,18"
91,30/09/2001,"-92,62%","-19,48%","36,46%","-23,62%","0,82","58,35","57,35"
92,30/06/2001,"-92,95%","-20,73%","34,90%","-23,03%","0,90","60,45","59,45"
93,31/03/2001,"-75,54%","-18,47%","35,88%","-17,80%","1,04","17,48","16,48"
94,31/12/2000,"-55,14%","-13,05%","37,64%","-12,37%","1,05","9,30","8,30"
95,30/09/2000,"0,00%","0,00%","34,81%","-4,87%","0,00","4,76","3,76"
96,30/06/2000,"0,00%","0,00%","35,72%","-6,92%","0,00","4,48","3,48"
97,31/03/2000,"0,00%","0,00%","34,76%","-9,68%","0,00","4,09","3,09"
