,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
21,31/03/2019,"R$ 43,65 B","R$ 22,20 B","R$ 9,43 B","- R$ 8,96 B","R$ 18,38 B","R$ 9,17 B","R$ 5,42",77
22,31/12/2018,"R$ 43,46 B","R$ 22,44 B","R$ 9,45 B","- R$ 8,37 B","R$ 17,82 B","R$ 8,93 B","R$ 5,28",77
23,30/09/2018,"R$ 43,41 B","R$ 22,88 B","R$ 9,50 B","- R$ 8,04 B","R$ 17,54 B","R$ 8,96 B","R$ 5,30",77
24,30/06/2018,"R$ 43,53 B","R$ 23,01 B","R$ 8,48 B","- R$ 7,96 B","R$ 16,44 B","R$ 7,00 B","R$ 4,14",77
25,31/03/2018,"R$ 43,41 B","R$ 23,17 B","R$ 6,86 B","- R$ 7,91 B","R$ 14,77 B","R$ 4,71 B","R$ 2,79",77
26,31/12/2017,"R$ 43,21 B","R$ 22,93 B","R$ 6,63 B","- R$ 7,85 B","R$ 14,49 B","R$ 4,61 B","R$ 2,73",77
27,30/09/2017,"R$ 43,05 B","R$ 22,98 B","R$ 6,67 B","- R$ 7,68 B","R$ 14,34 B","R$ 4,31 B","R$ 2,55",77
28,30/06/2017,"R$ 42,85 B","R$ 22,61 B","R$ 6,39 B","- R$ 7,69 B","R$ 14,08 B","R$ 4,04 B","R$ 2,39",77
29,31/03/2017,"R$ 42,67 B","R$ 22,14 B","R$ 6,06 B","- R$ 7,68 B","R$ 13,75 B","R$ 3,86 B","R$ 2,28",77
30,31/12/2016,"R$ 42,51 B","R$ 21,69 B","R$ 6,37 B","- R$ 7,65 B","R$ 14,02 B","R$ 4,09 B","R$ 2,42",77
31,30/09/2016,"R$ 42,40 B","R$ 21,11 B","R$ 6,05 B","- R$ 7,71 B","R$ 13,76 B","R$ 3,95 B","R$ 2,34",77
32,30/06/2016,"R$ 42,28 B","R$ 20,89 B","R$ 5,95 B","- R$ 7,58 B","R$ 13,53 B","R$ 3,89 B","R$ 2,30",77
33,31/03/2016,"R$ 41,74 B","R$ 20,57 B","R$ 5,95 B","- R$ 7,32 B","R$ 13,28 B","R$ 4,06 B","R$ 2,40",77
